RT @EgyTweets RT @CandiCunningham : There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Peru']
RT @ESPNsoccernet : Benitez urges united front ahead of Twente clash : Inter Milan boss Rafael Benitez has urged everyone at Inter Mi ... h ...	[u'http://en.wikipedia.org/wiki/Rafael_Ben%C3%ADtez', u'http://en.wikipedia.org/wiki/Inter_Milan', u'http://en.wikipedia.org/wiki/Inter_Milan', u'http://en.wikipedia.org/wiki/Inter_Milan', u'http://en.wikipedia.org/wiki/Twente']
RT @OptaJoe : 25 - The move for Yaya Touré's goal against Fulham involved 25 passes ; the most for any goal in the Premier League this sea ...	[u'http://en.wikipedia.org/wiki/Yaya_Tour%C3%A9', u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Fulham_F.C.']
The famous 1984 Macintosh ad was directed by Ridley Scott , director of Alien and Gladiator .	[u'http://en.wikipedia.org/wiki/Alien_(film)', u'http://en.wikipedia.org/wiki/Ridley_Scott', u'http://en.wikipedia.org/wiki/Gladiator_(2000_film)', u'http://en.wikipedia.org/wiki/Macintosh']
RT @ebertchicago : Klaus Kinski died in 1991 , or so we are assured . http://j.mp/b5pPRr	[u'http://en.wikipedia.org/wiki/Klaus_Kinski']
RT @IMDb : Johnny Depp will star as Tonto in ' The Lone Ranger , ' re-teaming with Gore Verbinski and Jerry Bruckheimer . http://imdb.to/fDyVGO	[u'http://en.wikipedia.org/wiki/Jerry_Bruckheimer', u'http://en.wikipedia.org/wiki/Tonto', u'http://en.wikipedia.org/wiki/Johnny_Depp', u'http://en.wikipedia.org/wiki/Gore_Verbinski', u'http://en.wikipedia.org/wiki/Lone_Ranger']
RT @FIFAWorldCupTM : Hyundai - Kia drives on as FIFA Partner until 2022 - FIFA is pleased to announce the extension of the partnership with .	[u'http://en.wikipedia.org/wiki/FIFA_Club_World_Cup', u'http://en.wikipedia.org/wiki/Partnership', u'http://en.wikipedia.org/wiki/Kia_Motors', u'http://en.wikipedia.org/wiki/Hyundai_Motor_Company']
I just met the owner of my company Harold Simmons in the elevator . The richest man in Dallas . He's on wikipedia : http://bit.ly/fiWX7M	[u'http://en.wikipedia.org/wiki/Crayola', u'http://en.wikipedia.org/wiki/Hardin%E2%80%93Simmons_University', u'http://en.wikipedia.org/wiki/Wikipedia', u'http://en.wikipedia.org/wiki/University_of_Dallas']
RT @jimenaofficial : FoxSports Rangers vs Man U . Fox Sports+ Milan vs Twente . FoxSports HD Panathinaikos vs Barcelona . Links de partid ...	[u'http://en.wikipedia.org/wiki/Panathinaikos_F.C.', u'http://en.wikipedia.org/wiki/Links_(golf)', u'http://en.wikipedia.org/wiki/FC_Barcelona', u'http://en.wikipedia.org/wiki/Rangers_F.C.', u'http://en.wikipedia.org/wiki/Inter_Milan', u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/Fox_Sports_Eredivisie', u'http://en.wikipedia.org/wiki/Henry_Draper_Catalogue']
RT @OptaJoe : 12 - Peter Crouch has scored 12 Champions League goals in 29 appearances , compared to 60 in 239 in the Premier League . Nachos .	[u'http://en.wikipedia.org/wiki/Peter_Crouch', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/UEFA_Champions_League']
RT @OMGFacts : Detroit is located NORTH of Canada ! Details --> http://bit.ly/cDxGFW	[u'http://en.wikipedia.org/wiki/Canada', u'http://en.wikipedia.org/wiki/North_America', u'http://en.wikipedia.org/wiki/Detroit']
Florence : The Cultural Capital of Europe http://t.co/XgpDBC9 via @sfgate	[u'http://en.wikipedia.org/wiki/Europe', u'http://en.wikipedia.org/wiki/Florence']
RT @ISRAEL21C : Director Bergman wins second Tokyo Film Festival prize http://su.pr/1usSq8 #Israel #film	[u'http://en.wikipedia.org/wiki/Berlin_International_Film_Festival', u'http://en.wikipedia.org/wiki/Ingmar_Bergman', u'http://en.wikipedia.org/wiki/Tokyo_International_Film_Festival']
Sad news ... RIP Peter Christopherson , directed videos for RATM , NIN , Ministry , and many others . http://bit.ly/bia801 CC : @tmorello	[u'http://en.wikipedia.org/wiki/Rage_Against_the_Machine', u'http://en.wikipedia.org/wiki/Peter_Christopherson', u'http://en.wikipedia.org/wiki/Nine_Inch_Nails', u'http://en.wikipedia.org/wiki/Ministry_of_Sound']
RT @LAhistory : Nov 25 , 1920 : Auto racer Gaston Chevrolet ( bro to Chevrolet founder ) died in race @ Beverly Hills Speedway . @Wired : http : ...	[u'http://en.wikipedia.org/wiki/Gaston_Chevrolet', u'http://en.wikipedia.org/wiki/Gaston_III,_Count_of_Foix', u'http://en.wikipedia.org/wiki/Chevrolet', u'http://en.wikipedia.org/wiki/Beverly_Hills,_California', u'http://en.wikipedia.org/wiki/Beverly_Hills_Speedway', u'http://en.wikipedia.org/wiki/Michigan_International_Speedway', u'http://en.wikipedia.org/wiki/Novial']
RT @nytimesarts : Arts , Briefly : Ana Maria Matute Wins Cervantes Prize http://nyti.ms/e5Qieg	[u'http://en.wikipedia.org/wiki/Miguel_de_Cervantes_Prize', u'http://en.wikipedia.org/wiki/Miguel_de_Cervantes_Prize', u'http://en.wikipedia.org/wiki/Ana_Mar%C3%ADa_Matute', u'http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature']
Richard Branson scoops German media prize - Yahoo ! News http://yhoo.it/hZ1wf6	[u'http://en.wikipedia.org/wiki/Germany', u'http://en.wikipedia.org/wiki/Mass_media', u'http://en.wikipedia.org/wiki/Richard_Brown_(rugby_union)', u'http://en.wikipedia.org/wiki/Richard_Branson', u'http://en.wikipedia.org/wiki/Yahoo!']
I am watching SHINE A LIGHT , the Rolling Stones concert doc directed by Martin Scorsese on VH1 Classics . Bill ( cont ) http://tl.gd/765t4b	[u'http://en.wikipedia.org/wiki/VH1', u'http://en.wikipedia.org/wiki/Martin_Scorsese', u'http://en.wikipedia.org/wiki/The_Rolling_Stones']
RT @TPO_Hisself : I was wrong , I admit it ... Obama is the smartest democrat in America , and CLEARLY deserves the Nobel Prize !!! http :/ ...	[u'http://en.wikipedia.org/wiki/Nobel_Prize', u'http://en.wikipedia.org/wiki/In_America_(film)', u'http://en.wikipedia.org/wiki/Barack_Obama']
RT @BreakingNews : Veteran comic actor Leslie Nielsen , 84 , has died in Ft . Lauderdale , Fla . - CJOB radio http://bit.ly/h9yDyA	[u'http://en.wikipedia.org/wiki/Belgium', u'http://en.wikipedia.org/wiki/CJOB', u'http://en.wikipedia.org/wiki/Financial_Times', u'http://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida', u'http://en.wikipedia.org/wiki/Leslie_Nielsen']
India's exports of gems & jewellery up by 41.6% from April to Oct . to US$ 21.4 billion vs . US$ 15.1 billion in same period last year	[u'http://en.wikipedia.org/wiki/Hyoscyamine']
RT @ShowbizSpy : Ben Affleck Could Have Directed Superman http://bit.ly/dX3yMG	[u'http://en.wikipedia.org/wiki/Ben_Affleck', u'http://en.wikipedia.org/wiki/Superman_Returns']
RT @Working_Wood : Barzotti still working – and growing – after 47 years : The owner of Barzotti Woodworking , a major Canadian maker ... ht ...	[u'http://en.wikipedia.org/wiki/Claude_Barzotti']
RT @Yesterday_Today : 2001 : Music - the " quiet Beatle , " George Harrison , died in Los Angeles , Ca , after a long battle with cancer at age ...	[u'http://en.wikipedia.org/wiki/George_Harrison', u'http://en.wikipedia.org/wiki/California', u'http://en.wikipedia.org/wiki/Los_Angeles']
RT @espn : Alabama PA announcer fired for songs directed at Auburn's Cam Newton - http://es.pn/dUvP8X	[u'http://en.wikipedia.org/wiki/Alabama_Crimson_Tide_football', u'http://en.wikipedia.org/wiki/Cam_Newton', u'http://en.wikipedia.org/wiki/Auburn,_Alabama']
In 1900 , Irish writer Oscar Wilde died in Paris at age 46 .	[u'http://en.wikipedia.org/wiki/Paris', u'http://en.wikipedia.org/wiki/Oscar_Wilde']
RT @history_travel : Beirut Lebanon : Beirut is the capital of Lebanon and is the largest city of the country . The city is located on ... ...	[u'http://en.wikipedia.org/wiki/Beirut', u'http://en.wikipedia.org/wiki/Lebanon']
RT @BBCWorld : David Beckham says he ´trusts´ Fifa will treat England 2018 fairly despite allegations in UK media	[u'http://en.wikipedia.org/wiki/FIFA_World_Cup', u'http://en.wikipedia.org/wiki/David_Beckham', u'http://en.wikipedia.org/wiki/England_national_football_team', u'http://en.wikipedia.org/wiki/David_Beck', u'http://en.wikipedia.org/wiki/UK_Singles_Chart']
RT @TheAtlantic : By blocking Liu Xiaobo's family from collecting his Nobel Prize , China raises its value : http://ow.ly/3i5xi	[u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://en.wikipedia.org/wiki/Communist_Party_of_China']
RT @WirelessFest : Congrats to Greg Snelgrove who is the winner of our ' Festival Survey ' prize draw ! Keep your eyes peeled for more compe ...	[u'http://en.wikipedia.org/wiki/South_by_Southwest']
RT @IMDb : Catherine Hardwicke is in talks to direct ' Maze Runners ' , a film adaptation of James Dashner's sci-fi trilogy . http://imdb.to/ ...	[u'http://en.wikipedia.org/wiki/Catherine_Hardwicke', u'http://en.wikipedia.org/wiki/The_Maze_Runner', u'http://en.wikipedia.org/wiki/James_Dashner']
Wesley Snipes must report to prison authorities in Pennsylvania by 9 December http://imdb.to/euQjSO	[u'http://en.wikipedia.org/wiki/Wesley_Snipes', u'http://en.wikipedia.org/wiki/Pennsylvania']
RT @ebertchicago : Richard Pryor died in 2005 . " Next I'm doing Hamlet . " http://j.mp/hDKIpi	[u'http://en.wikipedia.org/wiki/Richard_Pryor', u'http://en.wikipedia.org/wiki/Richard_and_Mary_Parker', u'http://en.wikipedia.org/wiki/Hamlet']
RT @HotelChatter : Gansevoort Park opens a Lacoste store today , an Italian restaurant this weekend : http://bit.ly/fkODRL	[u'http://en.wikipedia.org/wiki/Park']
RT @HLNTV : Just In : Russia will host the 2018 FIFA #WorldCup . #HLN	[u'http://en.wikipedia.org/wiki/Russia']
Alan J . Pakula directed Jane Fonda and Donald Sutherland in Klute ( 1971 ) . http://is.gd/i6f4i	[u'http://en.wikipedia.org/wiki/Jane_Fonda', u'http://en.wikipedia.org/wiki/Donald_Sutherland', u'http://en.wikipedia.org/wiki/Alan_J._Pakula', u'http://en.wikipedia.org/wiki/Klute', u'http://en.wikipedia.org/wiki/J._Edgar_Hoover', u'http://en.wikipedia.org/wiki/Alan_J._Pakula']
RT @euronews : Qatar to host FIFA World Cup in 2022 #fifa #worldcup	[u'http://en.wikipedia.org/wiki/2010_FIFA_World_Cup_qualification', u'http://en.wikipedia.org/wiki/Qatar_SC']
RT @qikipedia : The Salt Palace Hotel in Bolivia is built entirely of salt	[u'http://en.wikipedia.org/wiki/Bolivia']
RT @FIFAcom : FIFA.com takes a closer look at TP Mazembe Englebert and their ambitions for the FIFA Club World Cup in December - http://d ...	[u'http://en.wikipedia.org/wiki/2010_FIFA_Club_World_Cup', u'http://en.wikipedia.org/wiki/TP_Mazembe']
RT @legallawwatch : Viacom tries to revive lawsuit to get damages from YouTube : Viacom Inc ., the owner of MTV , Comedy Central and Ni ... h ...	[u'http://en.wikipedia.org/wiki/Nickel', u'http://en.wikipedia.org/wiki/YouTube', u'http://en.wikipedia.org/wiki/MTV_(Latin_America)', u'http://en.wikipedia.org/wiki/Comedy_Central', u'http://en.wikipedia.org/wiki/Viacom_International_Media_Networks_The_Americas', u'http://en.wikipedia.org/wiki/Apple_Inc.']
BBC : US poet wins Dylan Thomas prize http://is.gd/ibWvK	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/Dylan_Thomas_Prize', u'http://en.wikipedia.org/wiki/United_States_dollar']
RT @InfostradaLive : Pedro gives Barça 1-0 lead vs Osauna . Last 7 Barça league goals are now scored by Spanish players ; first time since ...	[u'http://en.wikipedia.org/wiki/FC_Barcelona', u'http://en.wikipedia.org/wiki/UEFA_Champions_League', u'http://en.wikipedia.org/wiki/Pedro_(footballer,_born_July_1987)', u'http://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation', u'http://en.wikipedia.org/wiki/Patty_Griffin']
RT @ESPNsoccernet : Liverpool's Fernando Torres claims prize : Liverpool's Fernando Torres has been rewarded for his goalscoring perf ... h ...	[u'http://en.wikipedia.org/wiki/Liverpool_F.C.', u'http://en.wikipedia.org/wiki/Fernando_Torres']
RT @ebertchicago : Frank Zappa died in 1993 . " Into the , into the RE-productive orifice of a lady harpist , and you were a dwarf , would you ...	[u'http://en.wikipedia.org/wiki/Frank_Zappa']
In 1791 , composer Wolfgang Amadeus Mozart died in Vienna , Austria , at age 35 .	[u'http://en.wikipedia.org/wiki/Austria', u'http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', u'http://en.wikipedia.org/wiki/Vienna']
RT @EgyTweets : RT @Zeinobia : Why Is The U.S Afraid Of Mubarak’s Regime !!? #Egypt #media #citizenJournalism ? http://bit.ly/eLYqcY	[u'http://en.wikipedia.org/wiki/Case_citation']
RT @EgyTweets : RT @Zeinobia : ElBaradei Harassed At The Cairo International Airport #Egypt #citizenJournalism #politics ? http://bit.ly/f ...	[u'http://en.wikipedia.org/wiki/Mohamed_ElBaradei', u'http://en.wikipedia.org/wiki/Cairo_International_Airport']
FC Twente v Tottenham preview http://bit.ly/hB5hnR	[u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.', u'http://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor']
RT @whereartyou_uk : Susan Philipsz won the Turner Prize - http://tiny.cc/mrvt5 If you are in London , see her work for free - http://tiny ...	[u'http://en.wikipedia.org/wiki/Turner_Prize', u'http://en.wikipedia.org/wiki/Susan_Philipsz', u'http://en.wikipedia.org/wiki/London']
RT @EgyTweets : RT @ProfCasperelli : March 26 : Bafana v Egypt at FNB Stadium . March 27 : Kings of Leon at FNB Stadium . I foresee problems .	[u'http://en.wikipedia.org/wiki/FNB_Stadium', u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Kings_of_Leon', u'http://en.wikipedia.org/wiki/South_Africa_national_football_team']
RT @palestine : Israel allows Gaza to add flowers to farm exports - Reuters http://bit.ly/hUCiOf	[u'http://en.wikipedia.org/wiki/Israel', u'http://en.wikipedia.org/wiki/Reuters', u'http://en.wikipedia.org/wiki/Gaza_City']
China to award Confucius Peace Prize http://dlvr.it/9zJpt	[u'http://en.wikipedia.org/wiki/Confucius', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Emperor_of_China', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize']
Julian Assange should be awarded Nobel peace prize , suggests Russia http://t.co/r9Evpa3 vía @guardian	[u'http://en.wikipedia.org/wiki/Julian_Assange', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Russia']
RT @washingtonpost : Liu Xiaobo will be the first #Nobel Peace Prize recipient to not attend the award ceremony since 1935 . http://wapo.s ...	[u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D0%B8%D1%8F_%D0%BD%D0%B0%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize']
RT @EgyTweets : RT @TarikSalama : Mubarak may criticize Qatar , and perhaps Syria , as Iranian surrogates . #cablegate #Egypt #politics http ...	[u'http://en.wikipedia.org/wiki/Syria', u'http://en.wikipedia.org/wiki/Qatar_Foundation', u'http://en.wikipedia.org/wiki/Nahyan_bin_Mubarak_Al_Nahyan']
RT @EgyTweets : RT @MissWann : The most beautiful women in egypt , she's a legend too . She's Nefertiti	[u'http://en.wikipedia.org/wiki/Ancient_Egypt', u'http://en.wikipedia.org/wiki/Nefertiti']
@DulceMaria > Sweet Dawn is a foundation created and directed by actress and singer Dulce Maria : http://www.dulceamanecer.com.mx/	[u'http://en.wikipedia.org/wiki/Dulce_Mar%C3%ADa']
RT @new_Parishotels : In Paris ? Visit The Tower Montparnasse and experience the panoramic view of the city http://bit.ly/a9urQh #hotel #t ...	[u'http://en.wikipedia.org/wiki/Panth%C3%A9on,_Paris', u'http://en.wikipedia.org/wiki/Tangled', u'http://en.wikipedia.org/wiki/Montparnasse_Cemetery']
RT @new_Parishotels : Stay at Hotel du Lys and visit The Luxembourg Gardens http://bit.ly/bPAEJX #hotel #travel #Paris #deals	[u'http://en.wikipedia.org/wiki/Hotel', u'http://en.wikipedia.org/wiki/DuPont', u'http://en.wikipedia.org/wiki/Jardin_du_Luxembourg', u'http://en.wikipedia.org/wiki/Luxembourg']
RT @headlinenews : CNN : Violence flares in Ivory Coast : Explosions and gunfire were heard Thursday in the capital of the Ivory Coas ... ht ...	[u'http://en.wikipedia.org/wiki/CNN', u'http://en.wikipedia.org/wiki/Ivory_Coast']
RT @LarryTaunton : The Battle of Verdun ended on this day in 1916 . I've been there . Haunting . 1.5 million casualties . Homo homini lupus : ...	[u'http://en.wikipedia.org/wiki/Battle_of_Verdun']
Obama should be stripped of his Nobel Peace Prize for drones , get Nobel War Crime Prize . Julian Assange for Nobel Peace Prize .	[u'http://en.wikipedia.org/wiki/War_crime', u'http://en.wikipedia.org/wiki/Julian_Assange', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Barack_Obama']
London Named Tuberculosis Capital Of Western Europe - Health News - redOrbit http://t.co/cVWQya4 #health #disease	[u'http://en.wikipedia.org/wiki/Western_Europe', u'http://en.wikipedia.org/wiki/Bethlehem_Steel', u'http://en.wikipedia.org/wiki/London', u'http://en.wikipedia.org/wiki/Tuberculosis']
Ancient Thai capital of #Ayutthaya , #Thailand . http://yfrog.com/h2cppnj	[u'http://en.wikipedia.org/wiki/Ayutthaya_Kingdom']
Xo Paris Hilton Pictures - Paris Hilton Presents Supermatxe Motorbikes in Madrid - Zimbio http://goo.gl/aRMlT	[u'http://en.wikipedia.org/wiki/Real_Madrid_C.F.', u'http://en.wikipedia.org/wiki/Living_Media', u'http://en.wikipedia.org/wiki/Paris_Hilton']
#DarkAngel was directed by James Cameron - who would've thought ...	[u'http://en.wikipedia.org/wiki/James_Cameron']
Leonardo Di Caprio would have never acted in unstoppable	[u'http://en.wikipedia.org/wiki/U.S._Citt%C3%A0_di_Palermo', u'http://en.wikipedia.org/wiki/Leonardo_Bonucci', u'http://en.wikipedia.org/wiki/Leonardo_DiCaprio']
RT @LifelineLive : Paris Hilton launches new motorcycle racing team http://usat.ly/e0YHaB	[u'http://en.wikipedia.org/wiki/Paris_Hilton']
RT @mashable : Johnny Depp and “ Inception ” Top IMDb User Picks for 2010 - http://on.mash.to/dSLuK6	[u'http://en.wikipedia.org/wiki/Inception', u'http://en.wikipedia.org/wiki/Johnny_Depp', u'http://en.wikipedia.org/wiki/Graphical_user_interface']
RT @ebertchicago : John Steinbeck died in 1968 . " Wherever there's a fight , so hungry people can eat , I'll be there . " http://bit.ly/fHlUpv	[u'http://en.wikipedia.org/wiki/John_Stein_(guitarist)', u'http://en.wikipedia.org/wiki/John_Steinbeck']
To/ @ParisHilton TRUe : Paris Hilton Is Pregnant ? | The Stir http://goo.gl/8oyKl	[u'http://en.wikipedia.org/wiki/Paris_Hilton']
RT @TMZ : Paris Hilton and other passengers on a Delta flight from Los Angeles to Maui were taken off the plane at LAX , af ... http://bit . ...	[u'http://en.wikipedia.org/wiki/Maui_Invitational_Tournament', u'http://en.wikipedia.org/wiki/LAX_(TV_series)', u'http://en.wikipedia.org/wiki/Paris_Hilton', u'http://en.wikipedia.org/wiki/Los_Angeles_International_Airport']
RT @peoplemag : Paris Hilton's flight to Hawaii evacuated after knife found on board : http://ow.ly/3sNFJ	[u'http://en.wikipedia.org/wiki/Paris_Hilton', u'http://en.wikipedia.org/wiki/Hawaii']
RT @JohnHamptonK : No Tells : Best Poetry Books of 2010 - Lucy Biederman : Lucy Biederman graduated from George Mason University's MF ... ht ...	[u'http://en.wikipedia.org/wiki/George_Mason_University', u'http://en.wikipedia.org/wiki/University_of_Maryland,_College_Park', u'http://en.wikipedia.org/wiki/Saint_Lucy']
RT @derekrootboy : Has David Cameron not acted illegally by handing Jeremy Hunt decision on BSkyB ? They're both in Rupert Murdoch's pocke ...	[u'http://en.wikipedia.org/wiki/Rupert_Murdoch', u'http://en.wikipedia.org/wiki/BSkyB', u'http://en.wikipedia.org/wiki/Jeremy_Hunt_(politician)', u'http://en.wikipedia.org/wiki/David_Cameron']
FACT : When table tennis was originally created in 1889 , it was called gossima .	[u'http://en.wikipedia.org/wiki/Table_tennis']
BBC : Lebanese film Stray Bullet wins Dubai film prize http://is.gd/jdHIm	[u'http://en.wikipedia.org/wiki/Dubai_TV', u'http://en.wikipedia.org/wiki/BBC_World_News']
Walter Scott ( 1771 – 1832 ): Richard Thorpe directed Robert Taylor , Elizabeth Taylor and Joan Fontaine in " Ivanhoe " ( 1952 ) http://is.gd/jehHo	[u'http://en.wikipedia.org/wiki/Robert_Taylor_(actor)', u'http://en.wikipedia.org/wiki/Elizabeth_Taylor_(novelist)', u'http://en.wikipedia.org/wiki/Ivanhoe', u'http://en.wikipedia.org/wiki/Walter_Scott', u'http://en.wikipedia.org/wiki/John_Newton_(actor)', u'http://en.wikipedia.org/wiki/Joan_Fontaine', u'http://en.wikipedia.org/wiki/Richard_Thorpe']
RT @ebertchicago : Today Nathanael West ( Day of the Locust , Miss Lonelyhearts ) died in a crash while driving to Scott Fitzgerald's funera ...	[u'http://en.wikipedia.org/wiki/F._Scott_Fitzgerald', u'http://en.wikipedia.org/wiki/Nathanael_West', u'http://en.wikipedia.org/wiki/Lonely_Hearts_(2006_film)', u'http://en.wikipedia.org/wiki/Miss_Lonelyhearts']
BBC : Graffiti artist Banksy up for London critics film prize http://is.gd/jfDdQ http://yfrog.com/h4x14ij	[u'http://en.wikipedia.org/wiki/Banksy', u'http://en.wikipedia.org/wiki/BBC_News_Online', u"http://en.wikipedia.org/wiki/King's_College_London"]
@Yoda_Bot Frank Oz Born in Hereford , England , born Frank Oznowicz graduated from California's Oakland City College , Muppets , Yoda #Sithmas	[u'http://en.wikipedia.org/wiki/Fresno_City_College', u'http://en.wikipedia.org/wiki/The_Muppets', u'http://en.wikipedia.org/wiki/England_national_football_C_team', u'http://en.wikipedia.org/wiki/Oakland_City_University', u'http://en.wikipedia.org/wiki/X-Men_Origins:_Wolverine_(video_game)', u'http://en.wikipedia.org/wiki/California_Polytechnic_State_University', u'http://en.wikipedia.org/wiki/Hereford_United_F.C.', u'http://en.wikipedia.org/wiki/Frank_Oz', u'http://en.wikipedia.org/wiki/Yoda']
RT @sbtrib : South Bend Tribune : First black woman said to have graduated from Notre Dame dies http://bit.ly/h15d7N	[u'http://en.wikipedia.org/wiki/South_Bend_Tribune', u'http://en.wikipedia.org/wiki/Notre_Dame_Fighting_Irish_football']
RT @Arsenal_Chris : Marouane Chamakh believes he can establish himself as one of the best strikers in the Premier League .	[u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/Marouane_Chamakh', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League']
RT @wsjindia : India Tightens Rules on Cotton Exports http://on.wsj.com/eV2UD9	[u'http://en.wikipedia.org/wiki/Australian_rules_football', u'http://en.wikipedia.org/wiki/India', u'http://en.wikipedia.org/wiki/Cotton']
