@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
Saturday September 18th 2010 8pm Hotel Elegante Steve " Stylez " A.K.A. Desperado Birthday Bash ! " Headrush in da building "	September||Stylez||Headrush||Desperado	{'September': '/en/september_11_2001_attacks', 'Stylez': '/en/shyla_stylez', 'Headrush': '/en/headrush', 'Desperado': '/en/desperado_1995'}
Day three of St John's wort tea for anxiety . So far today I havent had a panic attack ... we'll see if this works !	St John's||St John	{"St John's": '/en/st_johns_smith_square', 'St John': '/en/johannes_passion'}
@GhostAdventures Did you know ur new season starts tonight ? jk The best paranormal show #Ghostadventures !		{}
Report : Michael Vick Will Start for Eagles on Sunday http://t.co/UqXcSXT	Eagles||Michael Vick	{'Eagles': '/en/philadelphia_eagles', 'Michael Vick': '/en/michael_vick'}
RT @DubOnDaBeatz : People who gossip remind me of reporters #nshit always got da latest info on somebody ! Time for you loose lips to chan ...	chan	{'chan': '/en/zen'}
Hey . #dmv . There is a march . 10-2-10 onenationworkingtogether.org for more info		{}
ok bed time . I think i'ma curl up and watch Sabrina !!! Thanks @louisha !!! x	Sabrina	{'Sabrina': '/en/sabrina_1968'}
@vincentsmojo You think I secretly love dresses lol Only when Lilia wears them ;)	Lilia	{'Lilia': '/en/lilia_podkopayeva'}
Lucid Dementia Playing in Austin Tonite at The Scoot Inn at 1am !	Austin	{'Austin': '/en/austin'}
@hannibal_flow I got miami pics for days lol	miami	{'miami': '/en/miami'}
3 an a half days then I'm on HOLIDAY oh yes can't wait ;-) ;-) ;-)		{}
ALL TIME LOW ARE COMMING TO GLASGOW !!!!!!!!!!!!!!!!!!!	GLASGOW	{'GLASGOW': '/en/glasgow'}
preciso de um BG do all time low ou do the maine (:	the maine||all time low	{'the maine': '/en/the_maine', 'all time low': '/en/all_time_low'}
Let's get this show on the road ! May you have an easy fast and be inscribed for a good year . Gmar Chatimah Tova ! #YomKippur #5771	Tova	{'Tova': '/en/tova_magnusson_norling'}
Over My Boyfriend House Tonite We Going Do The Damn Thing .		{}
omg @wethekings is playing a show at Stetson in November .. if it's students only , I will be pissed	Stetson	{'Stetson': '/en/stetson_university'}
Need to put summer to bed by Monday -- just in time for the equinox .		{}
Because maybe You're gonna be the one who saves me ? And after all You're my wonderwall	wonderwall	{'wonderwall': '/en/wonderwall'}
RT @MirandaBuzz : Were working til midnight tonight ! Sleepover on set !		{}
@rachelshaps - dang ! I didn't know you were giving shoutouts ! Haha oh well . They're is always next friday :)		{}
I need a place to work out with free weights for the day . somebody hook that up . #SwollOn		{}
I'm feelin better than some head on a Sunday afternoon , better than a chick that said yes too soon .		{}
Grammar Boot Camp starts on Monday ! 7th graders should be ready to GO-GO-GO !!!! 8th Graders have a big project due next Friday ... be ready !	Friday	{'Friday': '/en/wwe_friday_night_smackdown'}
Only a few short weeks until the Great Pumpkin rises ! Maybe he will bring me an iPad ! http://grtpmpkin.com/4fj	iPad	{'iPad': '/en/ipad'}
omg i get paid today yesss		{}
RT @MarioBB9 : Pope says atheists pick and choose their morals . Correct . Today I will be frowning on child abuse and not having a proble ...	Pope	{'Pope': '/en/pope'}
Lines for Tonight's game 9:00 pm at Burnaby 8Rinks . Please note , these are not the lines for showering tonight ! http://twitpic.com/2pducs	Burnaby	{'Burnaby': '/en/burnaby'}
OK IMMA ASK THIS AGAIN HOW LONG DO YOU TALK TO A GIRL BEFORE U MAKE IT OFFICIAL & START GOIN OUT WITH HER ????		{}
today in a nutshell ; abusing blind people , seducing teachers , chinese takeaways , gatt holly , phil collins , the skin of a goblins nose , lush	holly||phil collins	{'holly': '/en/holly', 'phil collins': '/en/phil_collins'}
Having movie night tonight at the crib and ur not invited * BBM sticks tongue out smiley *	BBM	{'BBM': '/en/bureau_of_broadcast_measurement'}
RT @ssssab : Mariano : she used to be a very nice girl , before she discovered macdonalds	Mariano||macdonalds	{'Mariano': '/en/mariano_rivera', 'macdonalds': '/en/mcdonalds'}
Costco Irvine has fresh sushi samples today . Awesome .	Costco||Irvine	{'Costco': '/en/costco', 'Irvine': '/en/irvine'}
@KaulitzClub Hahaha ! We dance , eat , drink , and talk EVERYTIME we get together . And it's been this way for like years now !		{}
Tonight is going to be romantic		{}
@glacerie It's in my tweets a year ago I'll pull up the story later on . Just hope the film helps Shange sell more books .	Shange	{'Shange': '/en/ntozake_shange'}
@The_TDawson what were yu talking about yesterday ?		{}
Jessum's Question of teh Day : who's you favorite sidekick ? Yesterday's results : http://yfrog.com/mmeoxj		{}
You all need to know justin isnt the innocent 16 year old boy you think he is he has to be like that and ' love ' his fans so ...	justin	{'justin': '/en/justin_bieber'}
@LH_TCC I hope for All Of The Lights . I really do . CDQ of Runaway better have those samples from when he did it Live too .	Runaway	{'Runaway': '/en/runaway_youth'}
@GaryLuvin still hot ... But excited about tomorrow going to see Lady Gaga :)	Lady Gaga	{'Lady Gaga': '/en/lady_gaga'}
So much work yet to do before heading to Grand Masquerade next week .	Grand Masquerade||Grand	{'Grand Masquerade': '/authority/musicbrainz/951e9e6a-4af4-4fec-9a55-8a9f48d39879', 'Grand': '/en/piano'}
@virtualpatti - Well there were 4 interviews ( diff gov jobs ) i got the 1 i wanted . Glad i found out today , it would be a long weekend if not		{}
football game tonight ! ahh im so nervous about our dance !!		{}
Today is friday . Crap forgot XD		{}
RT @Georg_Grey : Man : " Is there any way for a long life ? " Doctor : " Get married . " Man : " Will it help ? " Doctor : " No , but the thought of long li ...		{}
RT @TheLoveStories : When people are mad at you , don't ever forget what they say , because they MEAN every single word they say ! #TLS		{}
RT @Yarcom : It's Guinness O'clock . <-- it's almost that time over here on the west coast too .	Guinness||west coast	{'Guinness': '/en/guinness_world_records', 'west coast': '/en/west_coast_of_the_united_states'}
RT @J_Dizzle18 : 11.04.10 is gonna be a good day//yes .. I turn 18 lol		{}
Fuckin FRIDAY NIGHT , Tweople ( RIDE IT) ! http://www.youtube.com/watch?v=A_Zi-YSW3aQ		{}
The Cheap and Choosy : Play All Day Fitted Diaper Review & $15 EcoMom Gif ... http://t.co/OH9z9zq via @blogger	Gif	{'Gif': '/en/gif'}
RT @jerilthompson : WaPo : renewing Bush tax cuts would " deprive " Treasury of $4T . No . Treasury deprived of $4T when Obama spent it all . # ...	$4T||Bush||WaPo||Obama	{'$4T': '/en/belair', 'Bush': '/en/george_w_bush_administration', 'WaPo': '/en/the_washington_post', 'Obama': '/en/presidency_of_barack_obama'}
@_MissMarika haha I need to update my tan I feel so white . My face ! I have been tanning myself this month , hurry up summer !		{}
RT @WakaFlocka1017 : SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N ...		{}
Nice and easy as I take my time .		{}
Uhmm . Looks like I'm not leaving my house tonight !		{}
APO disaster relief tomorrow 10-12 . Sign up on the website !	APO	{'APO': '/en/apolipoprotein_b'}
I just took " Justin Bieber takes 2 months off career to finish school , He is a huge player ... " and got : Part 8 ! Try it : http://bit.ly/cNarLp	Justin Bieber	{'Justin Bieber': '/en/justin_bieber'}
J shaken hands w/santana and/fatt lady like no otherQuote " this ought to get my ratins up before Conan Get back-Big Jack Off show-1 4 me "	Off||J||Conan	{'Off': '/en/roro', 'J': '/en/j_r_r_tolkien', 'Conan': '/en/arthur_conan_doyle'}
RT @CoreyTaylorRock : Chinese Proverb : one must first look foolish before he looks brilliant .		{}
@demhot I hate it here , lol . i'm moving to america when i'm at least 23 . no joke	america	{'america': '/en/united_states'}
even better than cocktail friday ! http://is.gd/ffDb9		{}
@_AsToldByBV well i wrote you like 6 times this week ! urgh . RACHELLE im gonnauh kill YOU tonite !	RACHELLE	{'RACHELLE': '/en/rachelle_lefevre'}
RT @Slijterijmeisje : Kreeg net een bruikbare tip van iemand die vorige week was begonnen met een whiskydieet , hij was nu al 3 dagen kwijt	Kreeg||van||van iemand	{'Kreeg': '/authority/musicbrainz/5b801ebc-5184-47ec-a60c-01ba6b49cd16', 'van': '/en/van', 'van iemand': '/authority/musicbrainz/71774f8a-b3a8-47ae-b51e-95a197c427e8'}
I want it NOW ! ;) RT : @corsairartisan Pumpkin Moonshine has arrived in Nashville -- Give it a week to get it in stores . KY ships next week !	KY||Nashville	{'KY': '/en/kentucky', 'Nashville': '/en/nashville_tennessee'}
Hey .... my birthday is in exactly one month !!! :D		{}
RT @TheOutlawz : EVERYBODY WHO WANT A FOLLOW FROM ME FOR FOLLOW FRIDAY LET ME KNOW !! WE AINT LIKE THESE HOLLYWOOD AZZ RAPPERS WE FOLLOW BACK !	HOLLYWOOD	{'HOLLYWOOD': '/en/hollywood'}
RT @rockerfuckerak : What's done is done , Just leave it alone , and don't regret . Sometimes somethings turn in-to dumb things . And that's when ...		{}
@ShelAndPushPlay Yeah man , u got it . It's only a matter of time .		{}
@jaredleto ... ive been to 13 30stm concerts now and you never got me on stage during/before kings and queens :(((		{}
looking forward to a weekend resting foot !! oh and the irish on sunday .		{}
Power nap . I need it . Its been a stressful week . I'm excited for xmas , haha . Goodnight . :)	xmas	{'xmas': '/en/christmas'}
today just doesn't feel like a Friday		{}
Yahoo : Jackie joins Twitter 50 years after JFK campaign : Had Twitter been an option in 1960 , a pregnant Jacquelin ... http://yhoo.it/9VAD4A	JFK||Twitter||Jacquelin||Yahoo||Jackie	{'JFK': '/en/john_f_kennedy_airport', 'Twitter': '/en/twitter', 'Jacquelin': '/en/raphael_jacquelin', 'Yahoo': '/en/yahoo_news', 'Jackie': '/en/jacqueline_kennedy_onassis'}
my past was the reason i tried to kill myself the other day , and i'll gladly do it again .		{}
Dollar steady versus yen but market wary of intervention | Money ... : The dollar held near its highest in a month ... http://bit.ly/a0F3dO		{}
:( RT @themaine Who is coming to the show tomorrow in Hawaii ?	Hawaii	{'Hawaii': '/en/hawaii'}
@DrHubaEvaluator Not long ago I responded to a angry cardiologist whom I have known yrs . when he spit venom to the newspaper but I did it +		{}
@Strigy got mine in bbt aintree today . Played table tennis on it in store ! V impressed . Did you get analogue controller 2 ?	aintree	{'aintree': '/en/aintree_racecourse'}
USM get ready yours truly tonight at frat house Hattiesburg on the 1s n 2s !!	frat house||USM||Hattiesburg	{'frat house': '/en/fraternities_and_sororities', 'USM': '/en/usm_alger', 'Hattiesburg': '/en/hattiesburg'}
Today's cheer went from awful to awesome from the moment I realized I did not have class today .		{}
@jonronson But a mess on one day may not a mess eternally be .		{}
Driving , driving , driving away to Phil . Tasty dinner tonight with the Society of Mining and Metallurgy Engineers .	Phil	{'Phil': '/en/dr_philos'}
Have a practice session @Cromwell Field today at 6pm . Hope i shine well and start the next game . :)	Field	{'Field': '/en/athletics'}
Pxleyes Top 50 Photography Contest Pictures of August 2010 ... http://bit.ly/bgCyZ0 #photography		{}
Costa Rican group CocoFunka power this week's Indiesent Exposure http://ht.ly/2G4nS by @fuseboxradio on @planetill	Costa Rican||CocoFunka	{'Costa Rican': '/en/costa_rica_national_football_team', 'CocoFunka': '/authority/facebook/cocofunka'}
RT @Quotealicious : Today , I saw a guy driving a Pepsi truck , drinking a Coke . MLIA #Quotealicious		{}
After I pet a kitten on JFK , the owners informed me it's ' double-pawed ' ( polydactyl ) , which is " a form of retardation in the animal kingdom "	JFK	{'JFK': '/en/john_f_kennedy_airport'}
I'm tired after school today !		{}
About online dietician : A thinner stool than usual can be identified and removed before they get are 2 weeks ago J ... http://bit.ly/cYGBdz		{}
Greek Festival at St Johns before ASPEN	ASPEN||St Johns	{'ASPEN': '/en/aspen', 'St Johns': '/en/st_johns'}
The Town might be one of the best movies I have seen all year . So , so good . And don't worry Ben , we already forgave you for Gigli . Really .	the best||so good||Gigli||Ben||The Town	{'the best': '/en/the_best_man', 'so good': '/en/feels_so_good', 'Gigli': '/en/gigli', 'Ben': '/en/ben_affleck', 'The Town': '/en/the_talk_of_the_town'}
@Jsmoothhh it's not supposed to rain till Sunday night .	Sunday night	{'Sunday night': '/en/nbc_sunday_night_football'}
So far this day hasn't gone to well , hopefully my night will be better !		{}
Going to the country fair today :)		{}
Lindsay Lohan allegedly failed her drug test . So not fetch . Quick , let's all put on our shocked faces that 23 days of rehab didn't work !	Quick||let||Lindsay Lohan	{'Quick': '/en/diana_quick', 'let': '/en/hamlet', 'Lindsay Lohan': '/en/lindsay_lohan'}
@SweetBee_90 what's the look for tonight ?		{}
I remember when you all were thiiis big , you know ?		{}
going now guiseeeee ... if i dont see you through the week ill see you through the window :) :)	the week||see you	{'the week': '/en/sleep_is_for_the_week', 'see you': '/en/see_you_on_the_other_side'}
Beautiful day in Chicago ! Nice to get away from the Florida heat .	heat||Florida heat||Florida||Chicago	{'heat': '/en/miami_heat', 'Florida heat': '/authority/tvrage/episode/511127', 'Florida': '/en/florida_gators', 'Chicago': '/en/chicago_bulls'}
But what happens when karam turns right around and bites you ? And everything you stand for turns on you despite you ?	karam	{'karam': '/en/najwa_karam'}
@alealshinn @BambingBling ~~~ @sunchips this is the second time they have messed up .... about to give up on them		{}
#blackholidays " National forget the he say she say ... what do God say day "	God	{'God': '/en/god'}
JV soccer leads 4-1 after Benitez scores again , less than 7 mins to play	JV||Benitez	{'JV': '/en/joint_venture', 'Benitez': '/en/cristian_benitez'}
Aggressive Kids With ADHD May Not Need Antipsychotic Meds http://t.co/JfGm0uH	Meds||Antipsychotic||ADHD	{'Meds': '/en/meds', 'Antipsychotic': '/en/antipsychotic', 'ADHD': '/en/attention-deficit_hyperactivity_disorder'}
@princessmariam9 i know .. i need to stop before my room is gonna get filled with water .		{}
@BornThisWayBaby thankk yhuu #monsterlove u just made my day :D		{}
@mekamoe927 I've had one before , but it was a short experience ( double entendre intended ) .		{}
Why hate on somebody for doing well when you can simply say great job and move on .. [ Haters u can kill yourself ] cuz ur losers		{}
If you are staying in Gainesville , come check out Costa Lounge TONIGHT ! Say you are with salsa caliente and get in ... http://fb.me/FZVzm8H9	Gainesville	{'Gainesville': '/en/gainesville'}
@godsgirl8494 can u please follow me ? you will make my day <3 8		{}
Ugh I DON'T HAVE MY EARPHONES I GUESS I WON'T B TALKING AND DRIVING TODAY LOL .... Excuses Excuses Excuses SMH		{}
There was just a fire at work . Today is looking up .		{}
Haha I seen a ped egg called a foot cheese grater today . I found it proper hilarious xD		{}
For code I've written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .	SCM||Sept	{'SCM': '/en/msc', 'Sept': '/en/september_11_2001_attacks'}
Good start for sharks tonight can only get better . Played with short bench tonight . Thought Rocks well in game early though until ' unseen '		{}
@paulwalk It's the view from where I'm living for two weeks . Empire State Building = ESB . Pretty bad storm here last evening .	Empire State Building||ESB	{'Empire State Building': '/en/empire_state_building', 'ESB': '/en/electricity_supply_board'}
Small Biz Tech Tour 2010 Launches Five City Tour MONTCLAIR N.J. ... : The all day event features America's ... http://tinyurl.com/28hd9fu #fb	MONTCLAIR||Five||Tour||all day||City	{'MONTCLAIR': '/en/montclair_state_university', 'Five': '/en/five', 'Tour': '/en/warped_tour', 'all day': '/en/all_day_with_it', 'City': '/en/new_york'}
@MiSS_SOTO I think that's when I'm gonna be there		{}
On Thanksgiving after you done eating its #TimeToGetOut unless you wanna help with the dishes	Thanksgiving	{'Thanksgiving': '/en/thanksgiving'}
RT @robmoysey Eyeopener vs . Ryerson Quidditch team this Sunday at 4 p.m. Anyone know where to get cheap brooms ? #Ryerson @RUQuidditch #Rams	Ryerson||vs||Quidditch||Eyeopener vs	{'Ryerson': '/en/ryerson_university', 'vs': '/en/professional_wrestling_match_types', 'Quidditch': '/en/quidditch', 'Eyeopener vs': '/authority/musicbrainz/8fab2d15-205e-4770-9ff2-ee1cfcc214a7'}
RT @ZodiacFacts : #ZodiacFacts As an #Aries romance isn't about what you're after -- it's about taking chances , exploring and keeping an ...	#Aries	{'#Aries': '/en/aries'}
ThAnK gOd ItS fRiDaY !!	gOd	{'gOd': '/en/god'}
I think that today the party has been canceled makes too much air in the street loll . miss u twitfriends . xx	the street||too much	{'the street': '/en/on_the_sunny_side_of_the_street', 'too much': '/en/never_too_much'}
Gotta dress up for london fashion week and party in style !	london fashion week	{'london fashion week': '/en/london_fashion_week'}
@rattleknackers amusing ? This is some of the greatest music of all time , my foot hasn't stopped tapping all night		{}
@aplusk http://www.youtube.com/watch?v=eLMui7zBiXo we beat kilkenny after they beat us for the last 4 years in the hurling . Woo !!!	kilkenny	{'kilkenny': '/en/kilkenny_gaa'}
@MakethisRalate good luck at Elliot Miner :D yous were greaaaat tonight <3 xx	Miner||Elliot	{'Miner': '/en/mining', 'Elliot': '/en/mama_cass'}
@snufflesgirl25 @mo9x Well . just beg @100monkeysmusic .. PLEASE come to the #SBLeurope Next year !. We need you there ! * puss in boots eyes *		{}
Kk its 22:48 friday nyt :D really tired so imma go to sleep :) good nyt x god bles xxxxx	god	{'god': '/en/god'}
@ConorMc_Ginty GaGa played here a few weeks back . She spoke out against SB1070 during the show . God bless her for that .	God||SB1070||GaGa	{'God': '/en/god', 'SB1070': '/en/arizona_sb1070', 'GaGa': '/en/lady_gaga'}
@DaylySpecialz im doin good , just maxin & relaxin on my day off ... i have a 4 day stetch startin tomorrow .		{}
I just took " After getting trampled at a Justin Bieber concert , yoiu wake up and ... " and got : Part 6 :) ! Try it : http://tinyurl.com/26zeju5	Justin Bieber	{'Justin Bieber': '/en/justin_bieber'}
@k8_walsh I've been out of the loop , but is Private Practice coming back this year ?		{}
I just took " After getting trampled at a Justin Bieber concert , yoiu wake up and ... " and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu	Justin Bieber	{'Justin Bieber': '/en/justin_bieber'}
RT @Mickey__Rourke : 58 years ago today I tumbled from my mother's womb with a cigarette in my mouth and a chihuahua puppy under each arm ...		{}
Amazon U.K. Offering HTC Desire Z Unlocked October 11 : We just got official word of the HTC Desire Z earlier in Lo ... http://bit.ly/bsyz9H	Lo||Z||October 11||HTC Desire	{'Lo': '/en/cee_lo_1974', 'Z': '/en/jay-z', 'October 11': '/en/october_11', 'HTC Desire': '/en/htc_desire'}
Yay . @penguin is coming to see me next week ... plotting my cooking now !		{}
RT @m_candelaria : The amazing Follow Friday Train : @Sketchjobs @lollieshopping @philadelphiabn @elainebiss @TableMatters10 @STALKmyPRETT ...		{}
RT @JDay_Sept15 : RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight < every week . Lets get it !		{}
@BieberEgypt I've got some bad news , Yeah I cant come to the meeting tomorrow . :S		{}
What a productive day .		{}
Fellas Don't just lick the PussyY , LOVE IT ! enjoy it . like u just got married & the preacher said u may kiss the bride		{}
RT @ItsTheTeenLife : The exact day that I wear shorts and a tee shirt everyone shows up wearing hoodies and jeans . -_- #ItsTheTeenLife		{}
@Viic156 I'm Ocutta Time ps tambn la amooo peroo la otra tambn me gustaa	la otra||Time	{'la otra': '/en/la_otra', 'Time': '/en/time'}
RT @BieberPledge : When I Get Old , Imma Still Be Rockin Out To ' Baby ' ... Even If I Break A Hip ;)		{}
I just took " When your mom makes you go live with your dad Scooter Braun , your life ... " and got : Part 7 ! Try it : http://tinyurl.com/27r2pdz	Braun	{'Braun': '/en/wernher_braun'}
Not feeling up to par today . #stressing		{}
Thanks and I will RT @InnerGizerBunni @kizfoprez_TR Happy Berlated Birthday ! I hope u have fun & live it up tonight .. Enjoy & b safe !		{}
Man i been eatin fastfood everyday im so glad my mommy cookin today ...		{}
Gotta call mom 2 let her know it's almost 3 . Yli gets out in 15 . Mom took the antenna home today & connected it at home , finally .	Yli	{'Yli': '/en/yli'}
@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something	#Vh1	{'#Vh1': '/en/vh1'}
Really hope I can get to @glasgowfilm for Winter's Bone - need to get on with job applications tonight then ! Trailer : http://bit.ly/bhUlum		{}
@CWWatson one of the complainers is a child minder who brings kids to the school then looks after other kids thro the day . Beggers belief		{}
Bonfire tonite . All are welcome , joe included	joe	{'joe': '/en/joe_biden'}
@zombie_killer94 aaahh sorry i posted the link wrong :( basically their record company confirmed the title & it comes out nov 23 XD	nov	{'nov': '/en/novial'}
Happy birfday to the only p-i-m-p I know ... @amcdavid ! We're getting " white boy wasted " tonight !		{}
@endlesskies ik me 2 . At night I'm wide awake but the daytime , I'm so tired my day drags		{}
Is Joaquin Phoenix Our Modern Day Andy Kaufman ? : ... the bizarre events leading up to this moment , the movie could ... http://bit.ly/aUZ2on	Joaquin Phoenix||Andy Kaufman	{'Joaquin Phoenix': '/en/joaquin_phoenix', 'Andy Kaufman': '/en/andy_kaufman'}
Not only is it #BattlestarGalactica's 32nd Anniversary , tonite is the 3rd season premiere of #StarWars #TheCloneWars !!		{}
I think one of the coolest things to do would be to hang out with the Rza for a day .	Rza	{'Rza': '/en/rza'}
@rach22uk_OM Aaaaah , us and Baveh Nate ... meant to BE !! He was nice that day , couldn't fucking get rid of him and his inappropriate touching	Nate	{'Nate': '/en/nate'}
this is what we do when we have no picture ideas . http://twitpic.com/2pdzm0		{}
I love listening to lies when i know the truth		{}
@BiteMe_iimKeema OMG ... BUT HOW LONG AGO U GOING OUT TONIGHT	HOW LONG||LONG AGO	{'HOW LONG': '/en/how_long', 'LONG AGO': '/en/once_upon_a_long_ago'}
@spookytown omg was it Today ?? ill go to bed soon so ill read tomorrow . Looking forward hehe		{}
RT @NROcorner : Why Constitution Day Matters :		{}
Check this video out -- General Hospital Spoilers Week 9-27-10 & 10-4-10 http://t.co/GciGiuz via @youtube .. ahhh OMG ! Can't wait to see this	General Hospital	{'General Hospital': '/en/hospital'}
Wtf do i have a stupid 3hr shift tonight !! I wanna go out and have fun :( Oh well time to watch some Jersey Shore haha	Jersey Shore	{'Jersey Shore': '/en/jersey_shore'}
Wat a day today . But oh well i love her * Danielle ily *	Danielle	{'Danielle': '/authority/imdb/name/nm5366889'}
New Post : Beyonce : I Am Yours Playlist Featured on VEVO Live Week [ Videos ] http://bit.ly/b1mqom	VEVO||Beyonce	{'VEVO': '/en/vevo', 'Beyonce': '/en/beyonce'}
@MoochieBad I don't have none ! What are urs ? I have 2 days with nothing to do !		{}
Wow .. saw pictures of Robert .... spent 2 1/2 years with him . Broke up 4 months ago & I miss when we were perfect ..	Robert	{'Robert': '/en/robert_i_of_scotland'}
Over 1 , 5 week sta ik in de keuken bij Delphi ... ik word toch ooit nog kok !	Delphi	{'Delphi': '/en/delphi'}
