@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	['the yakuza']
You all need to know justin isnt the innocent 16 year old boy you think he is he has to be like that and ' love ' his fans so ...	['need to know', 'old boy', 'justin']
@LH_TCC I hope for All Of The Lights . I really do . CDQ of Runaway better have those samples from when he did it Live too .	['Runaway']
@GaryLuvin still hot ... But excited about tomorrow going to see Lady Gaga :)	['Lady Gaga']
So much work yet to do before heading to Grand Masquerade next week .	['Grand', 'Grand Masquerade']
@virtualpatti - Well there were 4 interviews ( diff gov jobs ) i got the 1 i wanted . Glad i found out today , it would be a long weekend if not	['i found out', 'long weekend']
football game tonight ! ahh im so nervous about our dance !!	[]
Today is friday . Crap forgot XD	[]
RT @Georg_Grey : Man : " Is there any way for a long life ? " Doctor : " Get married . " Man : " Will it help ? " Doctor : " No , but the thought of long li ...	[]
RT @TheLoveStories : When people are mad at you , don't ever forget what they say , because they MEAN every single word they say ! #TLS	[]
RT @Yarcom : It's Guinness O'clock . <-- it's almost that time over here on the west coast too .	['Guinness', 'over here', 'west coast']
RT @J_Dizzle18 : 11.04.10 is gonna be a good day//yes .. I turn 18 lol	[]
Fuckin FRIDAY NIGHT , Tweople ( RIDE IT) ! http://www.youtube.com/watch?v=A_Zi-YSW3aQ	[]
The Cheap and Choosy : Play All Day Fitted Diaper Review & $15 EcoMom Gif ... http://t.co/OH9z9zq via @blogger	['All Day', 'Gif']
RT @jerilthompson : WaPo : renewing Bush tax cuts would " deprive " Treasury of $4T . No . Treasury deprived of $4T when Obama spent it all . # ...	['Bush', 'Obama', 'WaPo', '$4T', '$4T']
@_MissMarika haha I need to update my tan I feel so white . My face ! I have been tanning myself this month , hurry up summer !	[]
Nice and easy as I take my time .	['my time']
Uhmm . Looks like I'm not leaving my house tonight !	[]
APO disaster relief tomorrow 10-12 . Sign up on the website !	['disaster relief', 'APO']
I just took " Justin Bieber takes 2 months off career to finish school , He is a huge player ... " and got : Part 8 ! Try it : http://bit.ly/cNarLp	['Justin Bieber']
J shaken hands w/santana and/fatt lady like no otherQuote " this ought to get my ratins up before Conan Get back-Big Jack Off show-1 4 me "	['J', 'Conan', 'Off']
RT @CoreyTaylorRock : Chinese Proverb : one must first look foolish before he looks brilliant .	[]
@demhot I hate it here , lol . i'm moving to america when i'm at least 23 . no joke	['I hate', 'america', 'no joke']
even better than cocktail friday ! http://is.gd/ffDb9	['better than']
@_AsToldByBV well i wrote you like 6 times this week ! urgh . RACHELLE im gonnauh kill YOU tonite !	['this week', 'RACHELLE']
I want it NOW ! ;) RT : @corsairartisan Pumpkin Moonshine has arrived in Nashville -- Give it a week to get it in stores . KY ships next week !	['Nashville', 'KY']
Hey .... my birthday is in exactly one month !!! :D	[]
RT @TheOutlawz : EVERYBODY WHO WANT A FOLLOW FROM ME FOR FOLLOW FRIDAY LET ME KNOW !! WE AINT LIKE THESE HOLLYWOOD AZZ RAPPERS WE FOLLOW BACK !	['LET ME KNOW', 'HOLLYWOOD']
RT @rockerfuckerak : What's done is done , Just leave it alone , and don't regret . Sometimes somethings turn in-to dumb things . And that's when ...	[]
@ShelAndPushPlay Yeah man , u got it . It's only a matter of time .	['a matter of time']
@jaredleto ... ive been to 13 30stm concerts now and you never got me on stage during/before kings and queens :(((	['kings and queens', 'on stage']
looking forward to a weekend resting foot !! oh and the irish on sunday .	['looking forward']
Yahoo : Jackie joins Twitter 50 years after JFK campaign : Had Twitter been an option in 1960 , a pregnant Jacquelin ... http://yhoo.it/9VAD4A	['Yahoo', 'Jackie', 'Twitter', 'JFK', 'Jacquelin']
my past was the reason i tried to kill myself the other day , and i'll gladly do it again .	['the reason', 'the other', 'do it again']
Dollar steady versus yen but market wary of intervention | Money ... : The dollar held near its highest in a month ... http://bit.ly/a0F3dO	['The dollar']
:( RT @themaine Who is coming to the show tomorrow in Hawaii ?	['the show', 'Hawaii']
@DrHubaEvaluator Not long ago I responded to a angry cardiologist whom I have known yrs . when he spit venom to the newspaper but I did it +	['long ago']
@Strigy got mine in bbt aintree today . Played table tennis on it in store ! V impressed . Did you get analogue controller 2 ?	['aintree', 'table tennis']
USM get ready yours truly tonight at frat house Hattiesburg on the 1s n 2s !!	['get ready', 'frat house', 'Hattiesburg', 'USM']
Today's cheer went from awful to awesome from the moment I realized I did not have class today .	['Today']
@jonronson But a mess on one day may not a mess eternally be .	[]
Driving , driving , driving away to Phil . Tasty dinner tonight with the Society of Mining and Metallurgy Engineers .	['Phil']
Have a practice session @Cromwell Field today at 6pm . Hope i shine well and start the next game . :)	['Field']
Pxleyes Top 50 Photography Contest Pictures of August 2010 ... http://bit.ly/bgCyZ0 #photography	['Top 50', 'Pxleyes']
Costa Rican group CocoFunka power this week's Indiesent Exposure http://ht.ly/2G4nS by @fuseboxradio on @planetill	['this week', 'Costa Rican', 'CocoFunka']
RT @Quotealicious : Today , I saw a guy driving a Pepsi truck , drinking a Coke . MLIA #Quotealicious	[]
After I pet a kitten on JFK , the owners informed me it's ' double-pawed ' ( polydactyl ) , which is " a form of retardation in the animal kingdom "	['JFK', 'the animal']
I'm tired after school today !	[]
About online dietician : A thinner stool than usual can be identified and removed before they get are 2 weeks ago J ... http://bit.ly/cYGBdz	[]
Greek Festival at St Johns before ASPEN	['Greek Festival', 'St Johns', 'ASPEN']
The Town might be one of the best movies I have seen all year . So , so good . And don't worry Ben , we already forgave you for Gigli . Really .	['The Town', 'the best', 'so good', 'Ben', 'Gigli']
@Jsmoothhh it's not supposed to rain till Sunday night .	['Sunday night']
So far this day hasn't gone to well , hopefully my night will be better !	['So far']
Going to the country fair today :)	[]
Lindsay Lohan allegedly failed her drug test . So not fetch . Quick , let's all put on our shocked faces that 23 days of rehab didn't work !	['Lindsay Lohan', 'drug test', 'Quick', 'let']
@SweetBee_90 what's the look for tonight ?	['the look']
I remember when you all were thiiis big , you know ?	['remember when']
going now guiseeeee ... if i dont see you through the week ill see you through the window :) :)	['see you', 'the week', 'the window']
Beautiful day in Chicago ! Nice to get away from the Florida heat .	['Beautiful day', 'Chicago', 'Florida', 'heat', 'Florida heat']
But what happens when karam turns right around and bites you ? And everything you stand for turns on you despite you ?	['karam']
@alealshinn @BambingBling ~~~ @sunchips this is the second time they have messed up .... about to give up on them	['give up']
#blackholidays " National forget the he say she say ... what do God say day "	['God']
JV soccer leads 4-1 after Benitez scores again , less than 7 mins to play	['JV', 'Benitez']
Aggressive Kids With ADHD May Not Need Antipsychotic Meds http://t.co/JfGm0uH	['ADHD', 'Antipsychotic', 'Meds']
@princessmariam9 i know .. i need to stop before my room is gonna get filled with water .	[]
@BornThisWayBaby thankk yhuu #monsterlove u just made my day :D	['my day']
@mekamoe927 I've had one before , but it was a short experience ( double entendre intended ) .	['double entendre']
Why hate on somebody for doing well when you can simply say great job and move on .. [ Haters u can kill yourself ] cuz ur losers	['move on']
If you are staying in Gainesville , come check out Costa Lounge TONIGHT ! Say you are with salsa caliente and get in ... http://fb.me/FZVzm8H9	['Gainesville']
@godsgirl8494 can u please follow me ? you will make my day <3 8	['follow me', 'my day']
Ugh I DON'T HAVE MY EARPHONES I GUESS I WON'T B TALKING AND DRIVING TODAY LOL .... Excuses Excuses Excuses SMH	[]
There was just a fire at work . Today is looking up .	[]
Haha I seen a ped egg called a foot cheese grater today . I found it proper hilarious xD	[]
For code I've written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .	['Sept', 'SCM']
Good start for sharks tonight can only get better . Played with short bench tonight . Thought Rocks well in game early though until ' unseen '	[]
@paulwalk It's the view from where I'm living for two weeks . Empire State Building = ESB . Pretty bad storm here last evening .	['the view', 'two weeks', 'Empire State Building', 'ESB']
Small Biz Tech Tour 2010 Launches Five City Tour MONTCLAIR N.J. ... : The all day event features America's ... http://tinyurl.com/28hd9fu #fb	['Tour', 'Five', 'City', 'MONTCLAIR', 'The all', 'all day', 'America']
@MiSS_SOTO I think that's when I'm gonna be there	[]
On Thanksgiving after you done eating its #TimeToGetOut unless you wanna help with the dishes	['Thanksgiving']
RT @robmoysey Eyeopener vs . Ryerson Quidditch team this Sunday at 4 p.m. Anyone know where to get cheap brooms ? #Ryerson @RUQuidditch #Rams	['vs', 'Ryerson', 'Quidditch', 'Eyeopener vs']
RT @ZodiacFacts : #ZodiacFacts As an #Aries romance isn't about what you're after -- it's about taking chances , exploring and keeping an ...	['taking chances', '#Aries']
ThAnK gOd ItS fRiDaY !!	['gOd']
I think that today the party has been canceled makes too much air in the street loll . miss u twitfriends . xx	['the party', 'too much', 'the street']
Gotta dress up for london fashion week and party in style !	['london fashion week', 'in style']
@rattleknackers amusing ? This is some of the greatest music of all time , my foot hasn't stopped tapping all night	['the greatest']
@aplusk http://www.youtube.com/watch?v=eLMui7zBiXo we beat kilkenny after they beat us for the last 4 years in the hurling . Woo !!!	['kilkenny']
@MakethisRalate good luck at Elliot Miner :D yous were greaaaat tonight <3 xx	['Elliot', 'Miner']
@snufflesgirl25 @mo9x Well . just beg @100monkeysmusic .. PLEASE come to the #SBLeurope Next year !. We need you there ! * puss in boots eyes *	['Next year', '#SBLeurope']
Kk its 22:48 friday nyt :D really tired so imma go to sleep :) good nyt x god bles xxxxx	['go to sleep', 'god']
@ConorMc_Ginty GaGa played here a few weeks back . She spoke out against SB1070 during the show . God bless her for that .	['the show', 'God', 'GaGa', 'SB1070']
@DaylySpecialz im doin good , just maxin & relaxin on my day off ... i have a 4 day stetch startin tomorrow .	['my day']
I just took " After getting trampled at a Justin Bieber concert , yoiu wake up and ... " and got : Part 6 :) ! Try it : http://tinyurl.com/26zeju5	['Justin Bieber', 'wake up']
@k8_walsh I've been out of the loop , but is Private Practice coming back this year ?	['the loop', 'Private Practice']
I just took " After getting trampled at a Justin Bieber concert , yoiu wake up and ... " and got : Part 6 :) ! Try it : http://tinyurl.com/233u5lu	['Justin Bieber', 'wake up']
RT @Mickey__Rourke : 58 years ago today I tumbled from my mother's womb with a cigarette in my mouth and a chihuahua puppy under each arm ...	['mother']
Amazon U.K. Offering HTC Desire Z Unlocked October 11 : We just got official word of the HTC Desire Z earlier in Lo ... http://bit.ly/bsyz9H	['HTC Desire', 'October 11', 'Z', 'Lo']
Yay . @penguin is coming to see me next week ... plotting my cooking now !	[]
RT @m_candelaria : The amazing Follow Friday Train : @Sketchjobs @lollieshopping @philadelphiabn @elainebiss @TableMatters10 @STALKmyPRETT ...	[]
RT @JDay_Sept15 : RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight < every week . Lets get it !	['#FlavaFridays']
@BieberEgypt I've got some bad news , Yeah I cant come to the meeting tomorrow . :S	['bad news']
What a productive day .	[]
Not .	[]
Fellas Don't just lick the PussyY , LOVE IT ! enjoy it . like u just got married & the preacher said u may kiss the bride	['LOVE IT', 'kiss the bride', 'the preacher']
RT @ItsTheTeenLife : The exact day that I wear shorts and a tee shirt everyone shows up wearing hoodies and jeans . -_- #ItsTheTeenLife	[]
RT @BieberPledge : When I Get Old , Imma Still Be Rockin Out To ' Baby ' ... Even If I Break A Hip ;)	['When I Get Old', 'Even If']
Not feeling up to par today . #stressing	[]
Thanks and I will RT @InnerGizerBunni @kizfoprez_TR Happy Berlated Birthday ! I hope u have fun & live it up tonight .. Enjoy & b safe !	['I will', 'Berlated']
Man i been eatin fastfood everyday im so glad my mommy cookin today ...	['im so glad']
Gotta call mom 2 let her know it's almost 3 . Yli gets out in 15 . Mom took the antenna home today & connected it at home , finally .	['Yli']
@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something	['the end', 'the month', '#Vh1']
Really hope I can get to @glasgowfilm for Winter's Bone - need to get on with job applications tonight then ! Trailer : http://bit.ly/bhUlum	['I can', 'Winter']
@CWWatson one of the complainers is a child minder who brings kids to the school then looks after other kids thro the day . Beggers belief	['the day']
Bonfire tonite . All are welcome , joe included	['joe']
@zombie_killer94 aaahh sorry i posted the link wrong :( basically their record company confirmed the title & it comes out nov 23 XD	['the link', 'nov']
Happy birfday to the only p-i-m-p I know ... @amcdavid ! We're getting " white boy wasted " tonight !	[]
@endlesskies ik me 2 . At night I'm wide awake but the daytime , I'm so tired my day drags	['wide awake', 'my day']
Is Joaquin Phoenix Our Modern Day Andy Kaufman ? : ... the bizarre events leading up to this moment , the movie could ... http://bit.ly/aUZ2on	['Joaquin Phoenix', 'Andy Kaufman', 'the movie']
Not only is it #BattlestarGalactica's 32nd Anniversary , tonite is the 3rd season premiere of #StarWars #TheCloneWars !!	['season premiere']
I think one of the coolest things to do would be to hang out with the Rza for a day .	['Rza']
@rach22uk_OM Aaaaah , us and Baveh Nate ... meant to BE !! He was nice that day , couldn't fucking get rid of him and his inappropriate touching	['Nate', 'that day']
this is what we do when we have no picture ideas . http://twitpic.com/2pdzm0	[]
I love listening to lies when i know the truth	['the truth']
@BiteMe_iimKeema OMG ... BUT HOW LONG AGO U GOING OUT TONIGHT	['HOW LONG', 'LONG AGO']
@spookytown omg was it Today ?? ill go to bed soon so ill read tomorrow . Looking forward hehe	['Looking forward']
RT @NROcorner : Why Constitution Day Matters :	['Constitution Day']
Check this video out -- General Hospital Spoilers Week 9-27-10 & 10-4-10 http://t.co/GciGiuz via @youtube .. ahhh OMG ! Can't wait to see this	['General Hospital']
Wtf do i have a stupid 3hr shift tonight !! I wanna go out and have fun :( Oh well time to watch some Jersey Shore haha	['I wanna', 'Jersey Shore']
Wat a day today . But oh well i love her * Danielle ily *	['i love her', 'Danielle']
New Post : Beyonce : I Am Yours Playlist Featured on VEVO Live Week [ Videos ] http://bit.ly/b1mqom	['New Post', 'Beyonce', 'VEVO']
@MoochieBad I don't have none ! What are urs ? I have 2 days with nothing to do !	[]
Wow .. saw pictures of Robert .... spent 2 1/2 years with him . Broke up 4 months ago & I miss when we were perfect ..	['Robert']
@lofolulu RT @couponprincess : Please vote for me to be a Deal Pro in Chicago in November ! TY http://bit.ly/cgmnoX - DO WHAT @LOFOLULU SAYS !	['Please vote for me', 'Chicago', 'TY']
four months <3	[]
One day the things i say and do is gonna get me a nice slap ..	[]
@geek @borkware Somehow my iPad in Airplane mode with WiFi off has no problem connecting to internet . Time for a wipe or downgrade .	['Airplane mode', 'iPad']
@alyaffair Lol , that's not going to solve your problems . When you sober up again , they're going to back .	[]
@aprildenay Quit messing with ut ... every time you take the cotton out you break the clots keeping it from bleeding goober head !	['ut', 'every time']
15 million children die of hunger every year . Heed the call to end #world #hunger : http://linkbee.com/D8RKT via @here4cause	['the call']
#October Iron Man 2 ( Three-Disc Blu-ray/DVD Combo + Digital Copy ) Starring : Robert Downey Jr. , Mickey Rourke Direc ... http://bit.ly/a6iCPn	['Iron Man', 'Digital Copy', 'Robert', 'Downey', 'Mickey Rourke', 'Robert Downey Jr.']
i'll miss yooouuu my aunty tersayangg .... See U next Time yah ... Mmuah : *	['next Time']
@BeliebinMinajj OMG MILLIONS it was on repeat yesterday all day till my last lesson and then around 9pm i put it back and then its been on	['all day', 'and then']
Sitting here feeling awful with hayfever/headcold/sinusinfection but the sunshine is lovely . Can't feel too bad with such a nice day .	['too bad']
bahahah i think i'm over hyper today xD	[]
i wonder if our football team is gonna win their game today ...	['football team']
HAVE YOU HEARD DJ STRATEGY IS NOW AT VISIONS LOUNGE IN HICKORY , NC ON WEDNESDAY'S NIGHTS ... WOW !! DONT MISS IT !	['HAVE YOU HEARD', 'DJ', 'HICKORY', 'NC']
Best day of school :) haha i want a popsycle : x	[]
Performing on Thursday , Sept . 23 at 11:00 a.m. in the Student Centre at Centennial College ( Progress Campus ) in Scarborough . @ccsai	['Sept', 'Centennial College', 'Scarborough']
@x_Jamelia_x When r u gona realise we dont want u on our tvs ?? To prove my point enter ur name into search .. Uve had ur 15mins !	[]
@Laylaloves Well Im Irish and I couldnt stand her in the programme even before " waterfight/braless gate " !! She jus seemd sniddy !	[]
@Komanapalli people believe what you say when you demonstrate reliability as a source of knowledge .	[]
Saw some people from my past over at the school today . They all remembered me . :)	[]
RT @therealadamwest : Sunday is my birthday . 82 years young ! What should I wear ? ( don't say birthday suit ! )	[]
@justinbieber When you smile I smile ... seriously I do !!!!	[]
@ZhouMaharet I haven't for a long ass time	[]
omg tomorrow we meet , it will be good to see you again	['see you again']
@DeezyWest raiders get there first win this sunday #Predictions	['get there']
What should you do when you're sued . Here are a few tips . http://www.calitigationblog.com/2010/09/articles/what-to-do-when-you-are-sued/	[]
My few followers ..! What's up ..? ( : I kind of got in trouble today lol ... Just helps me remember I'm still a human . Imperfectly perfect ..!! ( :	[]
Hurry up ! Brandy will be Leaving in 2 days ! - #Eskorte and #Massasje i #Norge	['Brandy']
going to the mall with my momma , then church after this is a big'o challenge for the next 3 days encounter here I come lets see what happens	['the mall']
Right arm Rousseff , Erenice War , 51 years , became chief minister of the Civil House in April this year	['War', 'chief minister', 'House', 'Rousseff']
thank god its fucking friday	['god']
@OmegaWife5 exhaustingly long lol :) how has yours been ?	[]
I was there on Tuesday !! heheRT @devialicious : otw pelabuhan ratu	['pelabuhan ratu']
@JustBmoss hey hub how u been haven't seen u since my Love days lol	['my Love']
@snarkobabble I'll look for you tonight ! #wineparty	[]
RT @WScottsdale : What's happening at @WScottsdale the rest of the month ? Check out our September Happenings ! http://bit.ly/WHapps	['the month']
I'm so excited about going out tonight no work yea .... Badd Badd Badd Badd girls . Let's gooooooooooo	['so excited', 'Let']
ahhh that made my day (: i would say something stupid like that :D	['my day', 'something stupid']
Jan Brewer : Beheadings ? http://bit.ly/a2LBMP	['Jan Brewer']
Lol girrrrrrl . I'm very lucky but everything is work . Yours will come when its supposed to RT @_katesit_ Can't ( cont ) http://tl.gd/63aq2c	['everything is']
Most of time his love to us is one way . I always complained that I can't feel where he is . But the problem was not him , it was me .	['the problem']
RT @wkeving : Check out @slidedeck powerful Web Slider . Follow + RT to enter for a Free Pro version each day in Sept http://bit.ly/SDcontest	['Web', 'Slider', 'Sept']
@shaikhamah oh yeah 30th . Sorry I am lost in time , my apologies m (._.) m	['oh yeah']
next few weeks are going to be hectic between traveling and knee surgery when i get back	['get back']
Not awful ... going to start fresh this week :-) Soo hungry !	['this week']
@wildflower94 hw =/ i cant wate til summer !!! This year us guna b a mess	[]
Goodnight and may peace be upon you and yours . <3	['you and yours']
@Jee_agustino :O seriously even when you do not want ?	[]
Im starting to hate verizon . I normally have one bar or no bars . But i sure have 4 bars for ev all the time .. . . . Stupid	['the time', 'verizon', 'ev']
RT @DouchebagMovie : Come to " DOUCHEBAG LOS ANGELES OPENING WEEKEND EXTRAVAGANZA " Friday , October 8 at 7:30 pm until < br / > Saturday ...	['LOS ANGELES', 'October']
@jonronson Ask yourself what the Mail on Sunday would do , and do the opposite .	['Mail on Sunday', 'what the', 'the opposite']
RT @GaidaAbuSaleh : my 1997th tweet goes to ....... @LIDIAABUSALEH , i would like to thank lidia , for being born on the 1997th year . thank you .	['thank you', 'lidia']
party today <3 :) happy birthday florence <3	['happy birthday', 'florence']
Today is my oldest daughters 13th birthday . Really don't know what to think about her being a " teenager " . Except that I am really getting old .	[]
RT @TalibanTwon : RT @bigmatt3288 : The Birthday Celebration for The Boy @Talibantwon * Tonight * + #LaylaFridays = ZOOOVIE	['ZOOOVIE']
All caught up on @SHO_weeds ! After eating a full meal that was the next thing on my list to do after graduating !	['caught up', 'the next thing', 'my list']
@xXLauraJXx ino i did tweet him b4 n justthen about kenny signing his book but it was today ive already missed it :(	['kenny']
@jeffstinco where are you ??? =D hey when a new videochat on spcrew ??!!! ;)	['where are you', 'spcrew']
next Friday , the 24th both my bands are playing at Swayzes Venue . Please come support !!!	['Venue']
