@Jessica_Chobot did you see the yakuza vs zombies....smh but cool at the same time	 @Jessica_Chobot
I really feel like staying up all night listening to my CDs. The neighbours and my boss at work tomorrow would complain, so no can do :(	Albin|| @JasonCorriher||Coach Germano
@samanthaaai Up super duper early next week :|	 @Dazzx
@SweetTartelette Glad to hear they are okay. A drunk ran into the back of my son's car this week. He said it was frightening.N	 @JDay_Sept15|| @Ashanie_di_Don|| #FlavaFridays
RT @Ashanie_di_Don: @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight&lt;every week. Lets get it!	
My horrible doctor was featured on Oh Canada Team's blog: http://ohcanadateam.blogspot.com/2010/09/friday-finds-doctor-horrible.html	  http://ohcanadateam.blogspot.com/2010/09/friday-finds-doctor-horrible.html
Internet. My MOM got a tattoo today. Which, if one knows her, is so out of character. I find it awesome. Go ma!	 @SweetTartelette
@wonderwhygal I was trying to be sly today.  I started a new hat, and have a pink one done 4 @loongirl  My goal is 5.	da building
Saturday September 18th 2010 8pm Hotel Elegante Steve &quot;Stylez&quot; A.K.A. Desperado Birthday Bash! &quot;Headrush in da building&quot;	 @wonderwhygal|| @loongirl
Day three of St John's wort tea for anxiety. So far today I havent had a panic attack...we'll see if this works!	
@GhostAdventures Did you know ur new season starts tonight? jk The best paranormal show #Ghostadventures !	Michael Vick||  http://t.co/UqXcSXT
Report: Michael Vick Will Start for Eagles on Sunday http://t.co/UqXcSXT	 @GhostAdventures|| #Ghostadventures
RT @DubOnDaBeatz: People who gossip remind me of reporters #nshit always got da latest info on somebody! Time for you loose lips to chan ...	 @DubOnDaBeatz|| #nshit||chan
Hey. #dmv. There is a march. 10-2-10 onenationworkingtogether.org for more info	 @louisha
ok bed time. I think i'ma curl up and watch Sabrina!!! Thanks @louisha !!! x	 @vincentsmojo||Lilia
@vincentsmojo You think I secretly love dresses lol Only when Lilia wears them ;)	 #dmv||onenationworkingtogether.org
Lucid Dementia Playing in Austin Tonite at The Scoot Inn at 1am!	
@hannibal_flow I got miami pics for days lol	 @hannibal_flow
3 an a half days then I'm on HOLIDAY  oh yes can't wait ;-) ;-) ;-)	
ALL TIME LOW ARE COMMING TO GLASGOW!!!!!!!!!!!!!!!!!!!	maine
preciso de um BG do all time low ou do the maine (:	
Let's get this show on the road! May you have an easy fast and be inscribed for a good year. Gmar Chatimah Tova! #YomKippur #5771	 #YomKippur|| #5771
Over My Boyfriend House Tonite We Going Do The Damn Thing.	
omg @wethekings is playing a show at Stetson in November.. if it's students only, I will be pissed	
Need to put summer to bed by Monday -- just in time for the equinox.	 @wethekings
Because maybe You're gonna be the one who saves me ? And after all You're my wonderwall	 @MirandaBuzz
RT @MirandaBuzz: Were working til midnight tonight! Sleepover on set!	 #SwollOn
@rachelshaps - dang! I didn't know you were giving shoutouts! Haha oh well. They're is always next friday :)	 @rachelshaps
I need a place to work out with free weights for the day.   somebody hook that up. #SwollOn	
I'm feelin better than some head on a Sunday afternoon, better than a chick that said yes too soon.	
Grammar Boot Camp starts on Monday!  7th graders should be ready to GO-GO-GO!!!!  8th Graders have a big project due next Friday...be ready!	  http://grtpmpkin.com/4fj
Only a few short weeks until the Great Pumpkin rises! Maybe he will bring me an iPad! http://grtpmpkin.com/4fj	
omg i get paid today yesss	
RT @MarioBB9: Pope  says atheists pick and choose their morals. Correct. Today I will be frowning on child abuse and not having a proble ...	
Lines for Tonight's game 9:00pm at Burnaby 8Rinks. Please note, these are not the lines for showering tonight! http://twitpic.com/2pducs	Pope|| @MarioBB9
OK IMMA ASK THIS AGAIN HOW LONG DO YOU TALK TO A GIRL BEFORE U MAKE IT OFFICIAL & START GOIN OUT WITH HER????	Mariano|| @ssssab
today in a nutshell; abusing blind people, seducing teachers, chinese takeaways, gatt holly, phil collins, the skin of a goblins nose, lush	phil collins
Having movie night tonight at the crib and ur not invited *BBM sticks tongue out smiley*	  http://twitpic.com/2pducs
RT @ssssab: Mariano: she used to be a very nice girl,before she discovered macdonalds	
Costco Irvine has fresh sushi samples today. Awesome.	 @KaulitzClub
@KaulitzClub Hahaha! We dance, eat, drink, and talk EVERYTIME we get together. And it's been this way for like years now!	Costco Irvine
Tonight is going to be romantic	
@glacerie It's in my tweets a year ago I'll pull up the story later on. Just hope the film helps Shange sell more books.	 @glacerie
@The_TDawson what were yu talking about yesterday?	 @The_TDawson
Jessum's Question of teh Day: who's you favorite sidekick? Yesterday's results: http://yfrog.com/mmeoxj	  http://yfrog.com/mmeoxj
You all need to know justin isnt the innocent 16 year old boy you think he is he has to be like that and 'love' his fans so...	 @LH_TCC
@LH_TCC I hope for All Of The Lights. I really do. CDQ of Runaway better have those samples from when he did it Live too.	justin
@GaryLuvin still hot... But excited about tomorrow going to see Lady Gaga :)	 @GaryLuvin||Lady Gaga
So much work yet to do before heading to Grand Masquerade next week.	
@virtualpatti - Well there were 4 interviews (diff gov jobs) i got the 1 i wanted. Glad i found out today, it would be a long weekend if not	 @virtualpatti
football game tonight! ahh im so nervous about our dance!!	 @TheLoveStories|| #TLS
Today is friday. Crap forgot XD	
RT @Georg_Grey: Man:"Is there any way for a long life?" Doctor: "Get married." Man:"Will it help?" Doctor:"No,but the thought of long li ...	
RT @TheLoveStories: When people are mad at you, don't ever forget what they say, because they MEAN every single word they say! #TLS	 @Yarcom
RT @Yarcom: It's Guinness O'clock. &lt;-- it's almost that time over here on the west coast too.	 @blogger||  http://t.co/OH9z9zq
RT @J_Dizzle18: 11.04.10 is gonna be a good day//yes..I turn 18 lol	 @jerilthompson||Obama||"deprive"
Fuckin FRIDAY NIGHT, Tweople (RIDE IT)! http://www.youtube.com/watch?v=A_Zi-YSW3aQ	Doctor|| @Georg_Grey||"Is there any way for a long life?"||"Get married."
The Cheap and Choosy: Play All Day Fitted Diaper Review & $15 EcoMom Gif... http://t.co/OH9z9zq via @blogger	  http://www.youtube.com/watch?
RT @jerilthompson: WaPo: renewing Bush tax cuts would "deprive" Treasury of $4T. No. Treasury deprived of $4T when Obama spent it all. # ...	 @J_Dizzle18
@_MissMarika haha I need to update my tan I feel so white. My face!  I have been tanning myself this month, hurry up summer!	 @WakaFlocka1017
RT @WakaFlocka1017: SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N  ...	 @_MissMarika
Nice and easy as I take my time .	
Uhmm. Looks like I'm not leaving my house tonight!	
APO disaster relief tomorrow 10-12. Sign up on the website!	
I just took "Justin Bieber takes 2 months off career to finish school,He is a huge player ..." and got: Part 8! Try it: http://bit.ly/cNarLp	Justin Bieber||"Justin Bieber takes 2 months off career to finish school,He is a huge player ..."||  http://bit.ly/cNarLp
J shaken hands w/santana and/fatt lady like no otherQuote"this ought to get my ratins up before Conan Get back-Big Jack Off show-1 4 me"	 @CoreyTaylorRock
RT @CoreyTaylorRock: Chinese Proverb: one must first look foolish before he looks brilliant.	"this ought to get my ratins up before Conan Get back-Big Jack Off show-1 4 me"
@demhot I hate it here, lol. i'm moving to america when i'm at least 23. no joke	 @demhot
even better than cocktail friday! http://is.gd/ffDb9	  http://is.gd/ffDb9
@_AsToldByBV well i wrote you like 6 times this week ! urgh. RACHELLE im gonnauh kill YOU tonite !	 @Slijterijmeisje
RT @Slijterijmeisje: Kreeg net een bruikbare tip van iemand die vorige week was begonnen met een whiskydieet, hij was nu al 3 dagen kwijt	 @_AsToldByBV
I want it NOW! ;) RT: @corsairartisan Pumpkin Moonshine has arrived in Nashville -- Give it a week to get it in stores. KY ships next week!	
Hey.... my birthday is in exactly one month!!! :D	 @corsairartisan
RT @TheOutlawz: EVERYBODY WHO WANT A FOLLOW FROM ME FOR FOLLOW FRIDAY LET ME KNOW!! WE AINT LIKE THESE HOLLYWOOD AZZ RAPPERS WE FOLLOW BACK!	 @TheOutlawz
RT @rockerfuckerak: What's done is done,Just leave it alone,and don't regret.Sometimes somethings turn in-to dumb things.And that's when ...	 @rockerfuckerak
@ShelAndPushPlay Yeah man, u got it. It's only a matter of time.	 @ShelAndPushPlay
@jaredleto ... ive been to 13 30stm concerts now and you never got me on stage during/before kings and queens :(((	 @jaredleto
looking forward to a weekend resting foot !! oh and the irish on sunday.	
Power nap. I need it. Its been a stressful week. I'm excited for xmas, haha. Goodnight. :)	
today just doesn't feel like a Friday	Jackie||  http://yhoo.it/9VAD4A
Yahoo: Jackie joins Twitter 50 years after JFK campaign: Had Twitter been an option in 1960, a pregnant Jacquelin... http://yhoo.it/9VAD4A	  http://bit.ly/a0F3dO
my past was the reason i tried to kill myself the other day, and i'll gladly do it again.	
Dollar steady versus yen but market wary of intervention | Money ...: The dollar held near its highest in a month ... http://bit.ly/a0F3dO	 @DrHubaEvaluator
:( RT @themaine Who is coming to the show tomorrow in Hawaii?	
@DrHubaEvaluator  Not long ago I responded to a angry cardiologist whom I have known yrs. when he spit venom to the newspaper but I did it +	 @Strigy
@Strigy got mine in bbt aintree today. Played table tennis on it in store! V impressed. Did you get analogue controller 2?	 @jonronson
USM get ready yours truly tonight at frat house Hattiesburg on the 1s n 2s!!	
Today's cheer went from awful to awesome from the moment I realized I did not have class today.	August 2010|| #photography||  http://bit.ly/bgCyZ0
@jonronson But a mess on one day may not a mess eternally be.	 @Cromwell
Driving, driving, driving away to Phil. Tasty dinner tonight with the Society of Mining and Metallurgy Engineers.	Phil
Have a practice session @Cromwell Field today at 6pm. Hope i shine well and start the next game. :)	 @themaine||Hawaii
Pxleyes Top 50 Photography Contest Pictures of August 2010 ... http://bit.ly/bgCyZ0 #photography	 @fuseboxradio|| @planetill||  http://ht.ly/2G4nS
Costa Rican group CocoFunka power this week's Indiesent Exposure http://ht.ly/2G4nS by @fuseboxradio on @planetill	Pepsi||Coke|| @Quotealicious||PepsiCo|| #Quotealicious
RT @Quotealicious: Today, I saw a guy driving a  Pepsi truck, drinking a Coke.   MLIA #Quotealicious	
After I pet a kitten on JFK, the owners informed me it's 'double-pawed' (polydactyl), which is "a form of retardation in the animal kingdom"	"a form of retardation in the animal kingdom"
I'm tired after school today!	  http://bit.ly/cYGBdz
About online dietician: A thinner stool than usual can be identified and removed before they get are 2 weeks ago J... http://bit.ly/cYGBdz	
Greek Festival at St Johns before ASPEN	
The Town might be one of the best movies I have seen all year. So, so good. And don't worry Ben, we already forgave you for Gigli. Really.	 @Jsmoothhh
@Jsmoothhh it's not supposed to rain till Sunday night.	
So far this day hasn&#39;t gone to well, hopefully my night will be better!	Lindsay Lohan||Quick
Going to the country fair today :)	
Lindsay Lohan allegedly failed her drug test. So not fetch. Quick, let's all put on our shocked faces that 23 days of rehab didn't work!	Ben
@SweetBee_90 what's the look for tonight?	 @SweetBee_90
I remember when you all were thiiis big, you know?	 @sunchips|| @alealshinn|| @BambingBling
going now guiseeeee...if i dont see you through the week ill see you through the window :):)	"National forget the he say she say... what do God say day"|| #blackholidays
Beautiful day in Chicago! Nice to get away from the Florida heat.	
But what happens when karam turns right around and bites you? And everything you stand for turns on you despite you?	
@alealshinn @BambingBling ~~~ @sunchips this is the second time they have messed up.... about to give up on them	 @BornThisWayBaby|| #monsterlove
#blackholidays "National forget the he say she say...what do God say day"	 @princessmariam9
JV soccer leads 4-1 after Benitez scores again, less than 7 mins to play	
Aggressive Kids With ADHD May Not Need Antipsychotic Meds http://t.co/JfGm0uH	
@princessmariam9 i know.. i need to stop before my room is gonna get filled with water.	  http://t.co/JfGm0uH
@BornThisWayBaby thankk yhuu #monsterlove u just made my day :D	
@mekamoe927 I've had one before, but it was a short experience (double entendre intended).	Chicago
Why hate on somebody for doing well when you can simply say great job and move on..[Haters u can kill yourself] cuz ur losers	
If you are staying in Gainesville, come check out Costa Lounge TONIGHT! Say you are with salsa caliente and get in... http://fb.me/FZVzm8H9	 @godsgirl8494
@godsgirl8494 can u please follow me? you will make my day &lt;3 8	
Ugh I DON'T HAVE MY EARPHONES I GUESS I WON'T B TALKING AND DRIVING TODAY LOL....Excuses Excuses Excuses SMH	 @mekamoe927
There was just a fire at work. Today is looking up.	
Haha I seen a ped egg called a foot cheese grater today. I found it proper hilarious xD	
For code I've written since Sept '09, the delay between commit to SCM and running on customer hardware has been about 10 days.	 @paulwalk||Empire State Building
Good start for sharks tonight can only get better.  Played with short bench tonight.  Thought Rocks well in game early though until 'unseen'	Gainesville||  http://fb.me/FZVzm8H9
@paulwalk It's the view from where I'm living for two weeks. Empire State Building = ESB. Pretty bad storm here last evening.	
Small Biz Tech Tour 2010 Launches Five City Tour MONTCLAIR N.J. ...: The all day event features America's... http://tinyurl.com/28hd9fu #fb	America|| #fb||  http://tinyurl.com/28hd9fu
@MiSS_SOTO I think that's when I'm gonna be there	 #TimeToGetOut
On Thanksgiving after you done eating its #TimeToGetOut  unless you wanna help with the dishes	
RT @robmoysey Eyeopener vs. Ryerson Quidditch team this Sunday at 4 p.m. Anyone know where to get cheap brooms? #Ryerson @RUQuidditch #Rams	 @MiSS_SOTO
RT @ZodiacFacts: #ZodiacFacts As an #Aries romance isn't about what you're after -- it's about taking chances, exploring and keeping an  ...	 @robmoysey|| #Ryerson|| @RUQuidditch|| #Rams
ThAnK gOd ItS fRiDaY!!	 @aplusk||  http://www.youtube.com/watch?
I think that today the party has been canceled makes too much air in the street loll. miss u twitfriends. xx	
Gotta dress up for london fashion week and party in style!	 @MakethisRalate
@rattleknackers amusing? This is some of the greatest music of all time, my foot hasn't stopped tapping all night	 #ZodiacFacts|| #Aries|| @ZodiacFacts
@aplusk http://www.youtube.com/watch?v=eLMui7zBiXo we beat kilkenny after they beat us for the last 4 years in the hurling. Woo!!!	Gotta
@MakethisRalate good luck at Elliot Miner :D yous were greaaaat tonight &lt;3 xx	 @snufflesgirl25|| @mo9x|| @100monkeysmusic|| #SBLeurope
@snufflesgirl25 @mo9x Well. just beg @100monkeysmusic.. PLEASE come to the #SBLeurope Next year!. We need you there! *puss in boots eyes*	 @rattleknackers
Kk its 22:48 friday nyt:D really tired so imma go to sleep:) good nyt x god bles xxxxx	 @ConorMc_Ginty
@ConorMc_Ginty GaGa played here a few weeks back. She spoke out against SB1070 during the show. God bless her for that.	 @DaylySpecialz
@DaylySpecialz  im doin good, just maxin & relaxin on my day off...i have a 4 day stetch startin tomorrow.	Justin Bieber||"After getting trampled at a Justin Bieber concert, yoiu wake up and ..."||  http://tinyurl.com/26zeju5
I just took "After getting trampled at a Justin Bieber concert, yoiu wake up and ..." and got: Part 6 :)! Try it: http://tinyurl.com/26zeju5	
@k8_walsh I've been out of the loop, but is Private Practice coming back this year?	 @k8_walsh
I just took "After getting trampled at a Justin Bieber concert, yoiu wake up and ..." and got: Part 6 :)! Try it: http://tinyurl.com/233u5lu	 @Mickey__Rourke
RT @Mickey__Rourke: 58 years ago today I tumbled from my mother's womb with a cigarette in my mouth and a chihuahua puppy under each arm ...	Amazon.com||October 11||  http://bit.ly/bsyz9H
Amazon U.K. Offering HTC Desire Z Unlocked October 11: We just got official word of the HTC Desire Z earlier in Lo... http://bit.ly/bsyz9H	Justin Bieber||"After getting trampled at a Justin Bieber concert, yoiu wake up and ..."||  http://tinyurl.com/233u5lu
Yay. @penguin is coming to see me next week... plotting my cooking now!	 @m_candelaria|| @Sketchjobs|| @lollieshopping|| @philadelphiabn|| @elainebiss
RT @m_candelaria: The amazing Follow Friday Train: @Sketchjobs @lollieshopping @philadelphiabn @elainebiss @TableMatters10 @STALKmyPRETT ...	
RT @JDay_Sept15: RT @Ashanie_di_Don: @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight&lt;every week. Lets get it!	 @penguin
@BieberEgypt I've got some bad news, Yeah I cant come to the meeting tomorrow. :S	 @JDay_Sept15|| @Ashanie_di_Don|| #FlavaFridays
What a productive day.	 @ItsTheTeenLife|| #ItsTheTeenLife
Fellas Don't just lick the PussyY, LOVE IT! enjoy it. like u just got married & the preacher said u may kiss the bride	 @BieberEgypt
RT @ItsTheTeenLife: The exact day that I wear shorts and a tee shirt everyone shows up wearing hoodies and jeans. -_- #ItsTheTeenLife	 @Viic156
@Viic156 I'm Ocutta Time ps tambn la amooo peroo la otra tambn me gustaa	
RT @BieberPledge: When I Get Old, Imma Still Be Rockin Out To 'Baby'...Even If I Break A Hip ;)	 @BieberPledge
I just took "When your mom makes you go live with your dad Scooter Braun, your life ..." and got: Part 7! Try it: http://tinyurl.com/27r2pdz	"When your mom makes you go live with your dad Scooter Braun, your life ..."||  http://tinyurl.com/27r2pdz
Not feeling up to par today.#stressing	
Thanks and I will RT @InnerGizerBunni @kizfoprez_TR Happy Berlated Birthday! I hope u have fun & live it up tonight.. Enjoy & b safe!	
Man i been eatin fastfood everyday im so glad my mommy cookin today...	 @kizfoprez_TR|| @InnerGizerBunni
Gotta call mom 2 let her know it's almost 3. Yli gets out in 15. Mom took the antenna home today & connected it at home, finally.	 @Zerinaakers|| #Vh1
@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something	 @glasgowfilm||  http://bit.ly/bhUlum
Really hope I can get to @glasgowfilm for Winter's Bone - need to get on with job applications tonight then!  Trailer: http://bit.ly/bhUlum	Gotta
@CWWatson one of the complainers is a child minder who brings kids to the school then looks after other kids thro the day. Beggers belief	
Bonfire tonite. All are welcome, joe included	 @zombie_killer94
@zombie_killer94 aaahh sorry i posted the link wrong :( basically their record company confirmed the title & it comes out nov 23 XD	"white boy wasted"
Happy birfday to the only p-i-m-p I know...@amcdavid! We're getting "white boy wasted" tonight!	 @endlesskies
@endlesskies ik me 2. At night I'm wide awake but the daytime, I'm so tired my day drags	 @CWWatson
Is Joaquin Phoenix Our Modern Day Andy Kaufman?: ... the bizarre events leading up to this moment, the movie could... http://bit.ly/aUZ2on	the Rza
Not only is it #BattlestarGalactica's 32nd Anniversary, tonite is the 3rd season premiere of #StarWars #TheCloneWars!!	Joaquin Phoenix||Andy Kaufman||  http://bit.ly/aUZ2on
I think one of the coolest things to do would be to hang out with the Rza for a day.	 #BattlestarGalactica|| #StarWars|| #TheCloneWars
@rach22uk_OM Aaaaah, us and Baveh Nate... meant to BE!! He was nice that day, couldn't fucking get rid of him and his inappropriate touching	 @rach22uk_OM
this is what we do when we have no picture ideas. http://twitpic.com/2pdzm0	  http://twitpic.com/2pdzm0
I love listening to lies when i know the truth	
@BiteMe_iimKeema OMG...BUT HOW LONG AGO U GOING OUT TONIGHT	 @BiteMe_iimKeema||OMG
@spookytown omg was it Today??ill go to bed soon so ill read tomorrow. Looking forward hehe	 @spookytown
RT @NROcorner: Why Constitution Day Matters:  	 @NROcorner
Check this video out -- General Hospital Spoilers Week 9-27-10 & 10-4-10 http://t.co/GciGiuz via @youtube.. ahhh OMG! Can't wait to see this	 @youtube||  http://t.co/GciGiuz
Wtf do i have a stupid 3hr shift tonight!! I wanna go out and have fun :( Oh well time to watch some Jersey Shore haha	
Wat a day today. But oh well  i love her *Danielle ily*	Danielle
New Post: Beyonce: I Am Yours Playlist Featured on VEVO Live Week [Videos] http://bit.ly/b1mqom	  http://bit.ly/b1mqom
@MoochieBad I don't have none! What are urs? I have 2 days with nothing to do!	 @MoochieBad
Wow.. saw pictures of Robert.... spent 2 1/2 years with him. Broke up 4 months ago & I miss when we were perfect..	Robert
Over 1,5 week sta ik in de keuken bij Delphi... ik word toch ooit nog kok!	
@lofolulu  RT @couponprincess: Please vote for me to be a Deal Pro in Chicago in November! TY http://bit.ly/cgmnoX - DO WHAT @LOFOLULU SAYS!	 @lofolulu|| @couponprincess||Chicago||TY||  http://bit.ly/cgmnoX
four months&lt;3	
One day the things i say and do is gonna get me a nice slap..	
@geek @borkware Somehow my iPad in Airplane mode with WiFi off has no problem connecting to internet. Time for a wipe or downgrade.	 @borkware|| @geek
@alyaffair Lol, that's not going to solve your problems. When you sober up again, they're going to back.	 @alyaffair
@aprildenay Quit messing with ut...every time you take the cotton out you break the clots keeping it from bleeding goober head!	 @aprildenay
15 million children die of hunger every year. Heed the call to end #world #hunger: http://linkbee.com/D8RKT via @here4cause	 #world|| #hunger|| @here4cause||  http://linkbee.com/D8RKT
#October Iron Man 2 (Three-Disc Blu-ray/DVD Combo + Digital Copy) Starring: Robert Downey Jr., Mickey Rourke Direc...  http://bit.ly/a6iCPn	 #October||Robert Downey Jr.||Mickey Rourke||  http://bit.ly/a6iCPn
i'll miss yooouuu my aunty tersayangg.... See U next Time yah... Mmuah :*	
@BeliebinMinajj OMG MILLIONS it was on repeat yesterday all day till my last lesson and then around 9pm i put it back and then its been on	 @BeliebinMinajj
Sitting here feeling awful with hayfever/headcold/sinusinfection but the sunshine is lovely. Can't feel too bad with such a nice day.	
bahahah i think i'm over hyper today xD	
i wonder if our football team is gonna win their game today...	
HAVE YOU HEARD DJ STRATEGY IS NOW AT VISIONS LOUNGE IN HICKORY,NC ON  WEDNESDAY&#39;S NIGHTS   ...WOW!!   DONT MISS IT!	HICKORY,NC
Best day of school :) haha i want a popsycle :x	
Performing on Thursday, Sept. 23 at 11:00 a.m. in the Student Centre at Centennial College (Progress Campus) in Scarborough. @ccsai	Centennial College|| @ccsai
@x_Jamelia_x When r u gona realise we dont want u on our tvs?? To prove my point enter ur name into search.. Uve had ur 15mins!	 @x_Jamelia_x
@Laylaloves Well Im Irish and I couldnt stand her in the programme even before "waterfight/braless gate"!! She jus seemd sniddy!	 @Laylaloves||"waterfight/braless gate"
@Komanapalli people believe what you say when you demonstrate reliability as a source of knowledge.	 @Komanapalli
Saw some people from my past over at the school today. They all remembered me. :)	
RT @therealadamwest: Sunday is my birthday. 82 years young! What should I wear? (don't say birthday suit!)	 @therealadamwest
@justinbieber When you smile I smile...seriously I do!!!!	 @justinbieber
@ZhouMaharet I haven't for a long ass time	 @ZhouMaharet
omg tomorrow we meet, it will be good to see you again	
@DeezyWest raiders get there first win this sunday #Predictions	 #Predictions|| @DeezyWest
What should you do when you're sued. Here are a few tips. http://www.calitigationblog.com/2010/09/articles/what-to-do-when-you-are-sued/	
My few followers..! What's up..?(: I kind of got in trouble today lol... Just helps me remember I'm still a human. Imperfectly perfect..!!(:	
Hurry up! Brandy will be Leaving in 2 days! - #Eskorte and #Massasje i #Norge	 #Eskorte|| #Massasje|| #Norge
going to the mall with my momma, then church after this is a big'o challenge for the next 3 days encounter here I come lets see what happens	
Right arm Rousseff, Erenice War, 51 years, became chief minister of the Civil House in April this year	chief minister||Civil House
thank god its fucking friday	
@OmegaWife5 exhaustingly long lol :) how has yours been?	 @OmegaWife5
I was there on Tuesday !!heheRT @devialicious: otw pelabuhan ratu	 @devialicious
@JustBmoss hey hub how u been haven't seen u since my Love days lol	 @JustBmoss
@snarkobabble I'll look for you tonight! #wineparty	 @snarkobabble|| #wineparty
RT @WScottsdale: What's happening at @WScottsdale the rest of the month? Check out our September Happenings! http://bit.ly/WHapps	 @WScottsdale||  http://bit.ly/WHapps
I'm so excited about going out tonight no work yea.... Badd Badd Badd Badd girls. Let's gooooooooooo	
ahhh that made my day (: i would say something stupid like that :D	
Jan Brewer: Beheadings? http://bit.ly/a2LBMP	  http://bit.ly/a2LBMP
Lol girrrrrrl. I'm very lucky but everything is work. Yours will come when its supposed to RT @_katesit_ Can't (cont) http://tl.gd/63aq2c	 @_katesit_||  http://tl.gd/63aq2c
Most of time his love to us is one way. I always complained that I can't feel where he is. But the problem was not him, it was me.	
RT @wkeving: Check out @slidedeck powerful Web Slider. Follow + RT to enter for a Free Pro version each day in Sept http://bit.ly/SDcontest	 @slidedeck|| @wkeving||  http://bit.ly/SDcontest
@shaikhamah oh yeah 30th. Sorry I am lost in time, my apologies m(._.)m	 @shaikhamah
next few weeks are going to be hectic between traveling and knee surgery when i get back	
Not awful...going to start fresh this week :-) Soo hungry!	
@wildflower94 hw =/ i cant wate til summer!!! This year us guna b a mess	 @wildflower94
